Class Times	20
Buildings	15
1	B	Park	11
2	B	Bettws	15
3	B	OldLib	22
4	B	Dalton	11
5	B	Carpenter	23
6	B	EngHouse	17
7	B	Goodhart	18
8	H	Sharpless	22
9	H	KINSC	14
10	H	Hilles	11
11	H	Chase	18
12	H	Hall	17
13	H	Roberts	20
14	H	Woodside	14
15	H	Union	17
Rooms	250
1	1	41
2	1	31
3	1	28
4	1	78
5	1	117
6	1	82
7	1	86
8	1	80
9	1	98
10	1	10
11	1	115
12	2	89
13	2	68
14	2	108
15	2	61
16	2	26
17	2	14
18	2	53
19	2	48
20	2	87
21	2	92
22	2	30
23	2	81
24	2	27
25	2	111
26	2	13
27	3	42
28	3	55
29	3	105
30	3	47
31	3	38
32	3	55
33	3	50
34	3	83
35	3	23
36	3	15
37	3	53
38	3	62
39	3	97
40	3	111
41	3	42
42	3	59
43	3	89
44	3	79
45	3	118
46	3	23
47	3	64
48	3	28
49	4	65
50	4	83
51	4	32
52	4	66
53	4	59
54	4	35
55	4	11
56	4	70
57	4	7
58	4	110
59	4	44
60	5	109
61	5	24
62	5	113
63	5	89
64	5	31
65	5	108
66	5	31
67	5	95
68	5	104
69	5	28
70	5	110
71	5	76
72	5	15
73	5	33
74	5	104
75	5	6
76	5	43
77	5	89
78	5	6
79	5	107
80	5	24
81	5	82
82	5	87
83	6	28
84	6	120
85	6	52
86	6	67
87	6	64
88	6	112
89	6	56
90	6	15
91	6	39
92	6	65
93	6	88
94	6	12
95	6	10
96	6	96
97	6	33
98	6	62
99	6	46
100	7	42
101	7	94
102	7	11
103	7	52
104	7	98
105	7	25
106	7	41
107	7	34
108	7	110
109	7	51
110	7	100
111	7	78
112	7	19
113	7	103
114	7	56
115	7	97
116	7	32
117	7	52
118	8	43
119	8	22
120	8	12
121	8	64
122	8	82
123	8	68
124	8	71
125	8	105
126	8	95
127	8	91
128	8	83
129	8	28
130	8	44
131	8	23
132	8	101
133	8	84
134	8	85
135	8	118
136	8	21
137	8	69
138	8	31
139	8	101
140	9	21
141	9	63
142	9	81
143	9	118
144	9	55
145	9	56
146	9	32
147	9	50
148	9	19
149	9	113
150	9	36
151	9	97
152	9	38
153	9	101
154	10	72
155	10	11
156	10	64
157	10	33
158	10	43
159	10	49
160	10	30
161	10	49
162	10	112
163	10	11
164	10	112
165	11	75
166	11	6
167	11	48
168	11	22
169	11	76
170	11	76
171	11	108
172	11	118
173	11	54
174	11	40
175	11	114
176	11	69
177	11	72
178	11	64
179	11	59
180	11	18
181	11	115
182	11	30
183	12	110
184	12	57
185	12	96
186	12	103
187	12	78
188	12	113
189	12	90
190	12	99
191	12	87
192	12	88
193	12	95
194	12	17
195	12	67
196	12	69
197	12	91
198	12	78
199	12	49
200	13	117
201	13	7
202	13	86
203	13	12
204	13	40
205	13	31
206	13	75
207	13	7
208	13	107
209	13	90
210	13	38
211	13	65
212	13	7
213	13	96
214	13	10
215	13	94
216	13	44
217	13	43
218	13	112
219	13	114
220	14	58
221	14	83
222	14	60
223	14	107
224	14	71
225	14	105
226	14	99
227	14	28
228	14	110
229	14	91
230	14	32
231	14	26
232	14	9
233	14	48
234	15	90
235	15	14
236	15	6
237	15	23
238	15	114
239	15	19
240	15	67
241	15	81
242	15	39
243	15	53
244	15	57
245	15	106
246	15	99
247	15	56
248	15	44
249	15	91
250	15	102
Classes	500
Teachers	250
1	498	B	BMCEduc	4	2
2	68	B	BMCMath	3	2
3	61	B	BMCArch	4	2
4	207	H	HCSoc	2	2
5	298	H	HCAnth	3	3
6	408	H	HCBio	2	2
7	344	H	HCHist	4	2
8	316	H	HCSpanish	4	3
9	110	B	BMCHist	4	3
10	337	H	HCCompLit	3	3
11	264	H	HCCompLit	3	3
12	231	B	BMCEng	2	1
13	284	H	HCHist	3	2
14	127	B	BMCTheater	3	2
15	492	B	BMCClass	4	3
16	309	H	HCCompLit	2	2
17	82	H	HCChem	4	3
18	482	B	BMCPsych	3	3
19	89	B	BMCAnth	3	3
20	289	H	HCChem	3	3
21	464	B	BMCPhys	3	2
22	413	B	BMCArts	3	3
23	69	B	BMCEduc	3	3
24	452	H	HCAnth	4	3
25	28	H	HCPhys	3	3
26	233	H	HCCompLit	3	3
27	401	B	BMCAnth	2	2
28	25	H	HCPhys	3	2
29	458	B	BMCEng	4	3
30	242	H	HCCS	3	3
31	347	B	BMCSoc	2	1
32	321	B	BMCPhys	3	3
33	356	B	BMCRus	3	3
34	339	B	BMCPhys	4	3
35	194	B	BMCHist	4	2
36	327	H	HCRel	3	2
37	180	H	HCEng	3	3
38	422	H	HCCS	2	2
39	304	B	BMCArch	2	1
40	144	B	BMCPhys	4	3
41	348	B	BMCCities	3	2
42	59	H	HCBio	3	3
43	84	B	BMCArtHist	4	3
44	120	B	BMCChem	3	3
