Course	Room	Teacher	Time	Days	Students
2	37	2	(6, 7)	TTHF	4 161 219 247 278 310 317 321 325 397 457 568 1252 1325
3	37	3	(4, 5)	MW	4 44 70 87 103 163 185 223 469 499 680 761 768 886 967
4	45	4	(5, 6)	MW	5 149 682 754
5	48	5	(0, 1)	M	6 23 79 110 111 112 137 406 463 479 489 574 580 799
6	37	6	(11, 12)	M	7 95 469 671 673 750 806 952 1113 1116 1240 1465 1700
7	33	7	(6, 7)	TTH	7 700
8	37	8	(16, 17)	MW	8 162 363 383 391 425 490 527 545 566 567 660 675 779 797 844 906 1000 1004 1005 1323 1387 1413 1422 1451 1733
9	26	9	(10, 11)	MWF	9 24 56 116 126 128 152 173 183 184 202 219 221 262 267 310 334 338 346 350 374 449 483 490 638 657 704 740 759 823 838 878 993 994 995 1102 1141 1260 1303 1337 1494
10	30	10	(2, 6)	MW	10 29 141 209 578 627 803 864 1036 1040 1430
11	30	11	(10, 11)	M	10 29 473 578 803 864 1036 1040
12	25	12	(4, 6)	MWF	25 62 86 115 157 213 238 941 965 1030 1034 1242 1295 1469 1598
13	39	13	(4, 8)	TTH	11 78 620 1031 1279 1283
14	47	14	(9, 10)	MW	12 197
15	39	15	(0, 3)	M	12 18 81 102 467 723 1293 1522
17	61	17	(4, 6)	MWF	13 118 572 721 798 929 1027 1243 1463
18	12	18	(6, 7)	MW	71 575 756 1222
20	2	19	(6, 9)	TH	14 22 93 335 493 632 1041 1101 1305 1684
22	34	21	(6, 7)	MW	14 140 196 311 412 529 548 555 619 732 890 1000 1103 1597
23	18	22	(0, 2)	MWF	14 280 302 399 402 440 495 576 625 1133 1550
24	55	23	(18, 19)	MWF	15 71 196 212 227 258 369 513 627 793 851 1090 1292 1456
26	28	25	(15, 19)	TTH	16 39 210 961 1221 1276 1439
27	2	26	(16, 17)	TTHF	17 89 119 253 258 307 335 559 706 893 907 955 1184 1195 1219 1301 1433 1434 1484 1553 1569 1643
28	14	27	(14, 16)	MWF	18 97 234 252 388 401 419 422 502 546 595 639 646 651 743 769 833 892 897 908 960 998 1022 1084 1129 1130 1145 1187 1188 1189 1193 1313 1386 1389 1431 1479 1521 1666 1681 1725
29	25	28	(0, 2)	MWF	19 55 60 73 99 117 121 134 470 476 621 682 754 805 935 939 1270 1699
30	4	29	(9, 11)	TTHF	19 28 50 65 162 211 275 462 616 628 677 770 794 799 833 883 981 1028 1031 1044 1073 1213 1223 1267 1316 1669
31	26	30	(16, 18)	MWF	5 19 20 45 52 55 57 60 64 73 94 96 99 109 117 118 121 122 125 134 136 144 149 152 239 243 345 347 351 476 498 645 682 727 754 795 805 825 879 932 935 959 970 988 994 1042 1118 1123 1146 1147 1215 1232 1492 1493 1651 1670 1698 1699 1706 1713
32	59	31	(0, 2)	MWF	20 100 188 231 238 250 282
33	9	32	(3, 5)	MWF	21 246 503 586 645 658 791 807 888 935 968 1043 1082 1256 1333
34	4	33	(12, 15)	T	23 32 69 83 105 123 130 132 462 480 580 616 759 804 807 883 944 1044 1213 1253 1540 1727 1728 1730
35	8	30	(4, 5)	MW	24 59 182 184 208 230 235 241 247 249 291 362 373 381 386 393 395 423 517 522 526 547 564 565 589 596 599 644 650 701 781 810 869 875 1019 1081 1104 1156 1185 1237 1433 1438 1462 1468 1581 1629 1661
