Students	2909
1	1 
2	1 
3	1 
4	2 3 78 59 
5	4 109 31 
6	5 
7	6 7 185 
8	8 317 183 270 
9	9 9 123 
10	10 11 12 86 
11	13 96 162 
12	14 15 16 
13	17 18 19 
14	20 21 22 23 83 
15	24 25 21 
16	26 107 
17	27 180 36 36 54 
18	28 15 310 48 
19	29 30 31 
20	31 32 126 
21	33 187 
22	20 
23	5 34 182 94 
24	9 9 35 12 36 36 37 
25	38 39 39 12 37 218 
26	40 41 42 
27	43 21 44 
28	45 30 325 
29	10 11 
30	46 47 48 119 
31	21 16 318 285 
32	49 34 152 
33	50 21 51 148 
34	16 52 53 
35	54 16 
36	47 270 
37	55 56 57 17 
38	58 9 9 57 
39	59 26 
40	60 41 144 
41	61 62 77 
42	63 40 205 
43	64 65 55 243 
44	66 67 3 68 69 
45	61 31 
46	70 71 16 
47	72 73 36 260 55 36 
48	74 74 49 
49	75 67 234 252 66 
50	30 
51	57 158 116 
52	76 31 
53	73 21 307 
54	40 63 151 
55	77 29 78 31 
56	64 9 9 79 158 
57	80 304 305 31 
58	66 81 82 
59	83 35 329 
60	31 84 29 
61	85 28 
62	86 12 37 69 
63	86 80 304 305 
64	40 31 162 
65	87 30 257 
66	88 107 146 
67	55 30 
68	64 89 89 90 
69	91 92 34 178 252 
70	21 3 201 
71	19 24 25 18 
72	16 318 
73	77 29 31 127 
74	60 144 
75	93 21 174 23 217 
76	94 95 96 92 
77	97 16 133 271 
78	97 13 98 59 
79	5 224 95 
80	49 42 99 310 
81	15 103 52 
82	57 
83	100 91 92 34 252 
84	101 102 
85	103 259 303 91 110 
86	38 37 290 12 
87	3 104 178 201 
88	105 106 189 123 
89	27 176 229 149 
90	21 51 108 
91	107 108 21 109 
92	110 259 103 303 
93	21 20 102 154 
94	111 31 
95	6 185 117 205 72 
96	112 113 31 146 102 
97	28 111 77 
98	114 91 
99	29 104 292 31 
100	21 45 32 
101	73 115 116 44 
102	103 15 110 
103	21 3 117 50 
104	118 141 
105	34 
106	119 67 21 
107	21 120 121 122 
108	104 123 122 
109	61 31 28 200 
110	5 146 43 101 
111	5 182 43 
112	119 123 5 
113	85 63 265 
114	124 125 114 
115	96 38 12 
116	64 9 9 126 35 
117	77 29 31 127 
118	17 19 31 
119	107 27 261 
120	77 128 129 130 
121	29 127 31 
122	131 31 127 
123	132 77 34 
124	133 134 16 
125	58 77 31 
126	64 9 9 88 135 
127	49 51 70 
128	9 9 89 89 
129	86 37 43 110 333 89 89 
130	91 34 252 21 
131	130 129 
132	111 91 34 
133	90 135 64 143 
134	29 5 31 
135	85 136 257 318 
136	31 127 91 92 252 
137	137 5 
138	87 138 108 172 
139	40 63 89 89 
140	94 139 30 22 
141	40 140 10 83 158 
142	141 45 31 
143	119 
144	142 61 31 143 
145	56 155 157 89 89 
146	113 98 144 
147	145 
148	146 147 91 70 
149	4 75 31 
150	148 89 89 90 158 
151	149 308 183 
152	9 9 131 31 36 36 
153	150 162 36 257 36 
154	151 94 45 120 
155	152 153 154 143 
156	155 56 156 157 
157	12 
158	94 45 95 88 31 
159	158 88 41 
160	68 95 231 264 178 69 
161	2 
162	94 8 195 30 
163	137 14 3 159 
164	160 125 106 
165	161 106 186 176 
166	63 200 257 
167	150 159 198 331 
168	141 
169	56 155 157 
170	162 214 166 60 
171	163 164 281 
172	55 71 269 
173	165 40 9 9 166 
174	167 168 109 203 
175	66 68 63 70 69 
176	64 55 158 
177	94 88 225 320 
178	59 72 177 108 
179	137 150 78 
180	61 292 264 150 31 288 
181	133 169 170 
182	167 171 35 272 168 
183	9 9 133 158 57 
184	9 9 107 35 90 
185	172 94 3 45 
186	173 67 154 
187	163 150 
188	137 41 32 320 34 
189	45 174 158 
190	60 94 45 
191	94 175 218 
192	163 45 95 
193	101 176 45 95 
194	177 3 178 150 
195	129 258 101 
196	24 179 115 22 
197	14 
198	165 124 
199	1 
200	158 96 
201	70 180 68 235 
202	9 9 89 89 94 101 
203	148 74 74 55 
204	97 151 242 70 
205	97 178 181 146 
206	147 158 90 91 182 92 
207	183 184 79 
208	35 
209	83 10 2 
210	26 95 139 
211	94 30 231 
212	24 158 91 92 273 
213	41 12 12 37 
214	101 159 44 
215	185 150 6 
216	186 161 216 
217	187 188 31 131 
218	56 155 157 174 
219	9 9 2 158 36 36 
220	94 175 116 
221	64 9 9 170 90 
222	74 74 161 105 189 328 
223	3 122 75 
224	106 123 
225	190 53 132 225 
226	59 
227	24 191 159 53 
228	150 100 70 
229	192 193 
230	35 154 146 
231	42 93 32 78 
232	74 74 240 
233	99 194 174 
234	28 158 182 
235	35 113 160 
236	195 132 
237	79 205 
238	12 32 37 39 39 
239	145 31 204 283 
240	196 187 333 
241	50 35 176 252 
242	197 193 
243	77 268 132 31 
244	56 155 157 
