case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,100,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0430,0.0212,131,0.6725,valid
rooms_20,101,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0412,0.0211,107,0.7325,valid
rooms_40,102,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0492,0.0248,118,0.705,valid
class_times_12,103,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0471,0.0237,141,0.6475,valid
class_times_18,104,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0464,0.0245,128,0.68,valid
students_75,105,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0466,0.0233,107,0.6433,valid
students_150,106,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0469,0.0254,217,0.6383,valid
capacity_tight,107,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0491,0.0217,126,0.685,valid
capacity_large,108,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0409,0.0215,107,0.7325,valid
hours_more_short,109,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0430,0.0217,122,0.695,valid
hours_more_long,110,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0426,0.0218,118,0.705,valid
