case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,400,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0464,0.0228,115,0.7125,valid
rooms_20,401,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0411,0.0221,103,0.7425,valid
rooms_40,402,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0416,0.0210,133,0.6675,valid
class_times_12,403,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0408,0.0205,144,0.64,valid
class_times_18,404,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0406,0.0212,92,0.77,valid
students_75,405,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0406,0.0204,91,0.6967,valid
students_150,406,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0403,0.0221,202,0.6633,valid
capacity_tight,407,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0402,0.0207,112,0.72,valid
capacity_large,408,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0407,0.0207,140,0.65,valid
hours_more_short,409,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0522,0.0222,110,0.725,valid
hours_more_long,410,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0405,0.0213,128,0.68,valid
