Course	Room	Teacher	Time	Students
1	13	98	6	15 33
2	19	23	6	3 23 37
3	8	84	0	59
4	4	41	5	
5	30	79	7	
6	30	54	10	43 80
7	15	60	8	2 9 34 96
8	9	32	0	55 78
9	1	27	11	40 44 65
10	2	33	6	14 43 67
11	20	68	7	27 31 45 62 70 82 84
12	2	94	3	8 74
13	16	59	10	63 85
14	4	30	0	3 24 27 49 66
15	22	74	10	98
16	24	73	4	10 90 95
17	27	45	0	5 29 81 94
18	2	26	11	8
19	21	81	0	10 18 23
20	5	88	6	16 59
21	7	99	7	4 12 17 22 69 87
22	23	44	8	13 57 79
23	20	2	11	1 14 29 32 37 46 83 100
24	13	38	0	11 12 25 77 90 91
25	21	75	6	8
26	1	18	7	18 35 47 56 68 91
27	1	9	4	81 94
28	9	78	10	25
29	29	37	2	20 46 60 69 92
30	3	14	3	16 37
31	13	42	9	39 60 95
32	9	8	3	7 99
33	1	10	0	4
34	6	77	3	66
35	14	95	9	16 48
36	8	66	7	46 76
37	29	29	6	48 52 71 73
38	3	24	6	21
39	19	87	3	21 28 45
40	29	53	9	11 33 55 58 66 94
41	2	4	9	20 51 100
42	14	31	6	40 44
43	20	57	0	19 57 73 84
44	24	22	0	53 63
45	28	17	4	43 59 77
46	7	70	11	13 31 41 49
47	3	69	0	34 37 43 99
48	15	58	11	2 52 56
49	23	97	6	64 72 83
50	11	62	3	34 64 82
51	12	76	0	28
52	7	55	3	30 78
53	30	40	4	17 86
54	29	6	0	1 40 51 65 68 79
55	7	52	0	22 83
56	22	96	3	55
57	19	43	9	41
58	16	48	4	25 91 98
59	16	13	13	62 87 89
60	16	7	0	38 45 72
61	8	82	2	9 67
62	11	50	0	13 36 95
63	26	92	2	42
64	15	93	6	11 26 38
65	10	85	2	35 84
66	4	36	3	48
67	23	100	4	22 47 70 92
68	20	11	3	4 6 24 36 61 80 88
69	3	47	12	47 58 86
70	5	46	0	
71	16	86	6	7 89
72	26	90	7	5 32 98
73	23	16	0	14 89
74	22	15	0	21 26 44
75	21	25	3	3 19 62
76	12	51	3	71
77	6	34	0	30 52
78	10	28	7	10 77 93
79	29	5	4	31 50 51 75 84 96
80	8	89	4	29
81	22	19	7	61
82	7	61	5	18 93 97
83	3	91	10	75
84	4	3	7	78 86
85	10	65	0	87
86	15	71	2	15 39 40 54 79 87
87	19	39	0	6 33 88
88	5	20	2	32 57 73
89	2	80	0	2 8 50
90	25	72	4	20 35 41 42 60
91	30	83	0	31
92	25	63	0	64 75 93
93	15	64	0	17 67 76 80 92
94	1	12	13	7 59 65 77 82
95	14	35	2	1
96	21	56	9	30 53 71 88
97	24	49	10	74 97
98	13	1	4	38 56 63 85
99	8	21	11	19 67 99
100	24	67	7	24 28
