case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
classes_10,100,15,30,10,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.0347,152,0.620000,
classes_50,101,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.0277,118,0.705000,
classes_80,102,15,30,80,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.0395,111,0.722500,
classes_100,103,15,30,100,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.0350,104,0.740000,
classes_150,104,15,30,150,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.0341,94,0.765000,
classes_500,105,15,30,500,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.1446,88,0.780000,
classes_1000,106,15,30,1000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.4780,86,0.760000,
classes_1200,107,15,30,1200,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.6788,71,0.762500,
classes_1500,108,15,30,1500,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,0.9023,71,0.740000,
classes_2000,109,15,30,2000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,1.4257,62,0.732500,
classes_5000,110,15,30,5000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,7.0261,62,0.705000,
classes_7500,111,15,30,7500,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,13.5929,61,0.665000,
classes_9000,112,15,30,9000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,18.9766,54,0.702500,
classes_10000,113,15,30,10000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,24.2832,64,0.680000,
classes_15000,114,15,30,15000,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0000,50.2267,55,0.685000,
