Course	Room	Teacher	Time	Days	Students
1	14	29	(6, 8)	MW	
2	19	729	(12, 13)	TTH	
4	30	574	(8, 10)	TTH	
5	12	428	(10, 12)	MW	22
7	13	681	(6, 8)	TTH	41
8	17	885	(8, 10)	TTHF	
11	27	83	(6, 8)	MWF	4
15	12	85	(13, 14)	MW	
16	16	104	(8, 10)	MWF	68
19	7	464	(9, 11)	MWF	8 78
20	12	313	(7, 9)	TTH	29
21	30	818	(4, 5)	TTH	
24	12	447	(0, 2)	MW	11
25	8	179	(11, 14)	F	50
26	23	259	(4, 6)	MWF	42
30	24	35	(10, 12)	TTHF	66
31	25	457	(8, 11)	F	
33	8	976	(7, 8)	TTHF	35 62
35	15	30	(11, 13)	TTHF	7 11
37	26	185	(0, 3)	MW	34
39	7	156	(0, 1)	MWF	
41	30	951	(11, 12)	MW	
42	21	708	(9, 11)	MWF	86
44	21	579	(11, 13)	TTH	93
45	14	596	(9, 11)	MW	32 95
49	9	680	(4, 5)	TTHF	53 83
50	25	541	(0, 1)	MWF	10
52	5	575	(0, 1)	MWF	53 65
53	28	737	(7, 8)	TTHF	14
54	10	580	(3, 6)	TTH	84
56	2	611	(2, 3)	MW	5
59	23	13	(12, 14)	TTH	81
60	13	835	(10, 12)	MW	27
61	15	699	(0, 3)	M	47 73 94
62	25	192	(6, 7)	TTHF	58
64	16	364	(3, 6)	TH	
65	10	817	(0, 2)	TTH	
68	18	743	(4, 6)	TTH	82
69	26	93	(13, 14)	TTH	
73	23	573	(0, 2)	TTH	65
77	17	759	(4, 7)	TTH	
81	22	476	(0, 2)	MWF	70
82	4	900	(13, 14)	MWF	51
84	16	588	(7, 8)	TTH	42
85	30	15	(13, 14)	TTH	
86	30	434	(9, 10)	MWF	60
87	6	830	(12, 13)	TTHF	41
89	11	293	(5, 7)	TTHF	61 87
92	2	384	(12, 14)	MW	68
93	29	69	(13, 14)	TTH	
103	2	546	(10, 11)	MW	29
104	16	16	(0, 2)	MWF	9 93
106	22	339	(3, 4)	MWF	82
107	8	171	(4, 6)	TTH	40
108	24	713	(3, 6)	TH	
112	18	403	(10, 13)	W	75
118	26	671	(0, 3)	F	
120	18	378	(13, 14)	TTHF	57
126	3	487	(9, 10)	MWF	61
127	2	466	(0, 3)	TTH	85
128	3	475	(11, 14)	W	
134	6	181	(2, 3)	MWF	32
140	14	463	(4, 5)	MW	27 91 97
141	14	147	(9, 11)	TTHF	49
148	15	946	(13, 14)	MW	71
155	9	795	(4, 7)	MW	40
159	18	515	(7, 10)	F	57
163	29	723	(11, 12)	TTH	86
166	27	133	(0, 2)	MWF	3
167	28	547	(10, 11)	TTHF	18
168	18	745	(11, 12)	TTHF	54
174	1	295	(10, 11)	WF	
181	6	134	(6, 7)	TTHF	39
183	4	507	(3, 6)	F	96
186	7	249	(5, 6)	MWF	10
191	1	739	(3, 6)	TTH	3 9 52
193	9	441	(11, 12)	MWF	46
197	8	187	(10, 13)	MW	33
198	24	527	(11, 13)	MW	77
204	25	79	(8, 10)	TTH	64
207	15	23	(8, 10)	TTHF	6
215	6	621	(0, 1)	MWF	6
216	16	612	(3, 5)	MWF	28 48
218	22	270	(9, 12)	MW	87
220	25	245	(13, 14)	MWF	52
226	7	504	(12, 14)	MW	18
234	3	407	(7, 8)	WF	86
247	7	789	(0, 3)	TH	45
250	16	908	(11, 12)	MWF	20
251	14	401	(0, 1)	MWF	17
255	3	819	(5, 6)	TTHF	76
256	6	718	(3, 5)	TTH	26
259	29	26	(0, 3)	TTH	19
262	11	6	(11, 12)	TTHF	
269	1	690	(10, 13)	TTH	12
275	22	992	(0, 3)	TTH	
281	12	326	(10, 11)	TTHF	34
284	13	203	(9, 10)	TTHF	45
286	23	994	(3, 5)	TTH	68
290	11	516	(8, 9)	MWF	31
291	5	782	(0, 1)	TTH	78
297	30	272	(13, 14)	MWF	76
299	25	160	(0, 2)	TTH	44
300	30	435	(2, 4)	MWF	29
301	28	415	(13, 14)	MWF	9
306	26	608	(11, 12)	MWF	73
310	15	345	(0, 3)	TTH	4 58
312	28	752	(7, 9)	MW	6
313	14	20	(5, 6)	TTHF	91
320	10	754	(0, 1)	MWF	59
321	24	814	(7, 9)	TTH	
322	7	872	(8, 10)	TTH	20
324	27	845	(4, 6)	TTH	23
326	9	281	(13, 14)	MWF	49
327	6	954	(0, 2)	TTH	28
333	18	506	(0, 2)	TTHF	46
336	2	668	(9, 12)	TTH	85
337	24	158	(3, 4)	MWF	38
338	9	307	(9, 12)	TTH	63
344	12	869	(3, 4)	MWF	13
345	15	310	(4, 7)	TTH	5 20
349	19	631	(10, 11)	MWF	76
356	6	499	(8, 10)	MW	13
357	17	17	(11, 14)	TTH	43
360	26	560	(6, 8)	TTH	
367	19	769	(5, 7)	MWF	71
372	8	587	(0, 2)	WF	
373	27	213	(11, 13)	TTH	26
379	25	972	(3, 5)	TTH	57
384	2	92	(4, 5)	MWF	9 63
386	24	961	(5, 6)	MWF	72
387	7	810	(0, 3)	T	12
390	8	852	(7, 9)	MW	21
393	23	717	(11, 12)	MWF	61
395	13	518	(3, 5)	TTH	35
403	18	112	(10, 13)	M	38
404	6	370	(9, 11)	TTHF	41
410	22	942	(8, 10)	TTHF	89
414	17	833	(5, 7)	MWF	
416	2	760	(13, 14)	TTHF	
427	13	388	(0, 2)	TTH	31
430	23	100	(9, 11)	TTH	72 74
432	9	803	(2, 3)	MWF	81
435	30	300	(0, 3)	TTH	100
439	25	443	(4, 5)	MWF	8
440	19	405	(0, 2)	MW	54
443	25	439	(10, 12)	MW	21 81
459	11	323	(2, 4)	TTH	
463	14	140	(2, 3)	MW	24
469	21	855	(0, 3)	TTH	87 99
472	29	828	(9, 11)	MWF	
476	28	81	(0, 2)	MWF	
477	7	924	(2, 4)	MW	7
480	15	465	(9, 12)	MW	4 100
481	11	143	(12, 14)	MW	47 91
482	29	922	(7, 8)	MWF	27
484	1	282	(0, 2)	MW	2
487	5	126	(9, 10)	MWF	65
490	3	663	(11, 14)	M	64
491	24	687	(0, 2)	TTH	51
492	29	906	(0, 2)	MW	21
494	21	413	(4, 7)	TTH	
497	15	874	(4, 5)	MWF	2
501	26	289	(3, 5)	TTH	80
505	13	330	(13, 14)	MWF	39
510	21	352	(0, 2)	MWF	69 83
517	29	999	(3, 4)	MW	16
520	1	755	(8, 11)	M	1 96
521	18	811	(2, 4)	MW	6
523	24	132	(3, 6)	T	55 95
530	13	488	(3, 6)	MW	19
534	26	870	(0, 2)	TTH	77
535	27	153	(7, 10)	T	25
536	5	394	(7, 8)	TTHF	80
538	14	634	(12, 14)	TTHF	
541	20	50	(13, 14)	MWF	
548	22	380	(5, 8)	MW	85
556	25	639	(11, 14)	TTH	67 90
558	7	812	(6, 7)	TTH	31
562	10	565	(10, 12)	MWF	72
566	19	343	(6, 9)	TTH	
569	13	314	(4, 7)	F	89
572	4	131	(11, 13)	TTH	64
576	27	787	(4, 5)	MWF	47 50 94
581	1	644	(6, 9)	W	58
585	19	816	(12, 14)	MWF	85
586	11	926	(0, 1)	TTHF	57
588	28	84	(4, 5)	TTH	32
589	3	659	(3, 4)	MWF	
590	27	986	(12, 14)	MW	12 24 36
592	29	381	(0, 3)	F	63
596	5	45	(11, 13)	MW	69
601	19	993	(8, 9)	MWF	72
602	18	615	(8, 10)	TTH	48
605	2	693	(4, 6)	TTH	86
606	10	359	(7, 9)	TTHF	79 84
607	20	728	(6, 9)	TTH	
608	26	306	(6, 7)	MWF	
609	21	794	(3, 5)	MWF	
613	29	594	(12, 13)	MWF	43
614	14	882	(12, 14)	MW	35
616	1	600	(7, 9)	TTHF	10
618	17	442	(0, 3)	TTH	22
622	19	224	(3, 4)	MWF	66
628	14	898	(2, 4)	TTHF	39
629	7	695	(4, 5)	TTH	24
630	9	452	(0, 1)	MWF	33
634	10	538	(2, 4)	MWF	
636	29	944	(7, 10)	TTH	75
637	4	503	(6, 8)	TTH	59
638	10	40	(10, 13)	TTH	
641	9	894	(13, 14)	TTH	66
643	15	736	(6, 7)	MW	2
645	26	424	(8, 10)	MWF	69
648	3	9	(7, 10)	TTH	77
651	18	740	(5, 6)	MWF	16
655	1	761	(12, 13)	MW	10
656	25	941	(2, 3)	MWF	40 99
657	27	412	(0, 3)	TTH	13
658	10	758	(13, 14)	MWF	
666	18	767	(7, 9)	MW	28
669	2	735	(8, 9)	MWF	92
680	30	49	(11, 12)	TTHF	
682	11	298	(4, 7)	MW	22 70
684	23	997	(2, 3)	MWF	36
687	23	491	(6, 8)	TTH	71
689	20	583	(10, 13)	TTH	84
692	8	788	(0, 3)	M	1
694	4	101	(9, 12)	MW	39
695	12	629	(12, 13)	TTH	51
703	16	305	(0, 2)	TTH	34
705	17	987	(8, 11)	MW	19 98
706	12	489	(7, 9)	MWF	18
707	5	55	(6, 8)	MW	60
709	27	840	(7, 10)	TH	67
718	4	256	(3, 5)	MW	14
721	22	675	(4, 7)	TTH	88
722	12	910	(0, 2)	TTHF	26 38
726	13	389	(0, 2)	MW	16
728	15	607	(0, 3)	WF	8
733	1	865	(3, 5)	WF	11 25
734	21	252	(8, 10)	TTH	90
735	11	669	(8, 10)	TTH	61
736	16	643	(3, 6)	T	37 70
737	28	53	(10, 12)	MW	7
738	16	450	(13, 14)	TTH	76
741	22	117	(11, 13)	TTHF	89
744	1	261	(0, 1)	TTH	7
745	20	168	(11, 12)	MWF	58
746	12	925	(3, 6)	TTH	27
747	29	114	(4, 6)	TTH	42
748	26	914	(13, 14)	MWF	78
750	12	867	(5, 6)	MW	
757	21	832	(12, 14)	MWF	88
761	13	655	(13, 14)	TTH	52 94
763	3	884	(11, 13)	TTHF	80
764	13	214	(11, 12)	TTHF	48
768	4	80	(9, 10)	TTHF	62
769	20	367	(8, 10)	MWF	55
771	20	678	(3, 5)	TTHF	69
772	25	18	(6, 8)	MW	34
774	7	165	(12, 14)	TTHF	19
778	19	329	(0, 2)	TTHF	89
781	4	804	(6, 8)	MW	33
782	2	291	(7, 8)	TTH	92
784	10	563	(5, 6)	MWF	66
785	18	354	(0, 1)	MW	82 96 97
789	13	247	(0, 3)	F	73
790	29	124	(5, 6)	MWF	56
793	14	929	(0, 1)	TTH	52
797	8	982	(0, 3)	TTH	23
801	20	827	(3, 5)	MW	49
802	23	915	(9, 10)	MWF	54
804	4	781	(3, 5)	TTH	59
810	22	387	(13, 14)	MW	95
812	7	558	(7, 8)	MW	3 44
813	5	474	(4, 6)	TTH	74
815	3	237	(2, 4)	TTH	79
818	1	21	(4, 7)	M	1
824	27	125	(9, 11)	MW	5
829	8	478	(4, 6)	MWF	15
830	4	87	(0, 2)	MW	4
834	4	462	(0, 2)	TTHF	55
837	24	552	(0, 2)	MWF	
840	27	709	(9, 12)	F	82
842	19	97	(3, 5)	TTH	90
844	20	169	(0, 2)	MW	14
845	26	324	(4, 5)	MWF	44
847	10	943	(7, 9)	MW	
849	5	341	(2, 5)	MW	55
850	14	32	(7, 8)	TTHF	45
852	8	390	(11, 13)	TTH	37 79
853	30	599	(6, 7)	TTHF	
862	11	417	(10, 11)	MW	
869	9	344	(6, 8)	TTH	56
873	16	456	(13, 14)	MWF	23
874	17	497	(0, 1)	MWF	12
880	28	927	(12, 13)	TTH	24
885	28	8	(4, 6)	MWF	
888	17	67	(2, 4)	MW	17
889	6	454	(4, 7)	MW	5 80
891	23	654	(7, 8)	MWF	
893	26	219	(9, 12)	TTH	92
894	19	641	(10, 11)	TTH	98
895	9	316	(0, 2)	TTH	50
904	11	878	(13, 14)	TTHF	
918	28	91	(0, 3)	TTH	20
924	5	477	(2, 3)	TTHF	71
927	16	880	(9, 10)	TTH	47
934	8	12	(9, 10)	TTHF	36
937	23	868	(13, 14)	MWF	
940	5	229	(13, 14)	TTHF	
942	24	410	(7, 10)	MW	42
944	21	636	(6, 8)	MWF	83
951	30	41	(6, 7)	MW	49
952	3	652	(0, 1)	TTHF	
953	20	150	(6, 7)	MWF	48
958	30	391	(0, 1)	MWF	15
964	20	598	(0, 2)	TTHF	60
966	16	525	(6, 7)	MWF	17
967	16	317	(11, 12)	TTH	53
969	13	271	(7, 9)	MW	26
972	23	379	(0, 1)	MWF	30
973	3	947	(5, 8)	M	74
974	3	512	(0, 2)	MW	51
979	11	854	(0, 2)	MW	25
980	2	14	(0, 1)	MWF	
982	9	797	(8, 10)	MWF	43
984	17	200	(12, 13)	MWF	
992	5	275	(9, 12)	TTH	83
994	24	286	(13, 14)	TTHF	73
995	2	304	(6, 7)	MW	35
1000	6	334	(11, 13)	MW	25 30 62
