Course	Room	Teacher	Time	Days	Students
3	10	416	(6, 8)	TTH	70
4	21	501	(3, 4)	MWF	33
7	22	492	(13, 14)	TTH	
8	8	380	(11, 14)	TTH	63
9	3	670	(9, 12)	TTH	42
13	25	403	(13, 14)	TTH	
15	27	306	(8, 10)	TTH	98
20	21	154	(5, 7)	MWF	36
21	27	55	(11, 13)	TTH	98
23	20	118	(0, 1)	TTHF	12
29	5	899	(12, 14)	TTH	82
30	23	840	(0, 3)	F	
32	13	593	(3, 5)	MWF	
33	6	537	(8, 9)	TTH	
35	29	126	(7, 9)	MW	72
36	6	708	(13, 14)	TTH	
38	17	439	(10, 11)	TTHF	14
41	8	895	(8, 10)	TTHF	46
44	4	69	(0, 3)	TTH	29
45	28	514	(5, 7)	WF	88
46	15	37	(11, 12)	TTH	64 91
51	26	671	(4, 5)	TTHF	30
56	2	998	(11, 13)	MWF	5 55
58	28	438	(0, 2)	TTHF	30
59	15	482	(3, 5)	MWF	27
60	22	981	(3, 4)	MWF	68
64	8	812	(2, 3)	MWF	21 51 79
65	12	331	(6, 8)	TTHF	28
66	5	647	(6, 8)	MWF	58
70	23	88	(11, 14)	F	
72	20	93	(3, 5)	MW	6 80
76	13	136	(10, 12)	MWF	40
81	21	651	(13, 14)	MWF	53
82	26	125	(8, 10)	TTH	34 52 84
83	22	969	(10, 12)	MW	88
86	7	228	(5, 6)	WF	48
89	19	238	(11, 12)	MWF	85
90	20	243	(3, 5)	TTH	15
91	30	19	(13, 14)	TTHF	91
97	9	781	(3, 5)	MWF	10
100	29	918	(5, 8)	F	
107	1	179	(0, 2)	MWF	60
111	18	786	(7, 9)	MW	68
117	21	542	(8, 10)	MWF	36
118	20	23	(11, 13)	MW	9
121	12	457	(6, 7)	MW	
122	22	440	(5, 7)	MWF	74
125	26	82	(2, 3)	TTHF	28
126	30	35	(0, 2)	MW	56 100
132	8	198	(6, 7)	MWF	33
136	12	76	(0, 2)	MWF	1
137	10	632	(9, 11)	TTH	71
141	4	727	(5, 6)	MWF	19
142	15	270	(13, 14)	TTH	71
143	9	901	(0, 2)	TTH	32 59
145	22	300	(3, 5)	TTH	91
147	28	499	(10, 11)	TTH	44
149	16	858	(11, 13)	TTH	65 80
150	11	422	(9, 12)	MW	53 98
151	1	715	(5, 8)	W	
154	21	20	(0, 3)	TTH	67
155	20	213	(6, 7)	MWF	11 55
159	16	164	(2, 4)	MWF	
163	8	62	(11, 12)	MWF	41
164	15	159	(12, 14)	MWF	38 46
165	18	216	(3, 5)	TTH	80
167	13	408	(0, 2)	TTH	48 85
169	10	2	(0, 2)	TTH	58
171	20	923	(0, 2)	MW	
172	11	745	(8, 10)	TTHF	66
179	6	107	(0, 2)	MWF	
180	10	11	(3, 5)	TTH	65
181	13	241	(9, 12)	TH	
