Course	Room	Teacher	Time	Students
1	2	33	0	20 33 61 76
2	30	37	0	2 17 30 37 43 81 89
3	21	7	2	12 32 44 46 88 97
4	13	43	0	16 39 45 88
5	3	35	0	1 54 91 95
6	21	48	4	1 24 27 33 40 54 68 70 74
7	21	3	0	18 53 63
8	28	16	5	13 21 22 29 81
9	10	26	0	5 13 79 87
10	30	12	7	5 26 28 71 79 83
11	1	44	0	7 41 60 93
12	30	10	3	19 35 39 50 84
13	2	23	9	24 34
14	25	42	0	28 35 36 42
15	4	22	3	20 60 90 96
16	26	8	9	38 43 52 54 73 82
17	26	30	3	36
18	18	41	5	28 35 38 62 63 65 92
19	4	28	0	4 59 77 80 97
20	23	45	0	22 23 67 84 92
21	27	34	0	9 21 24 27 49
22	2	15	11	25 37 44 50 56 58 70 72
23	1	13	12	7 11 15 32 40 45 57 94 95
24	1	27	8	41 49 60 75 94 98
25	24	46	0	8 34 85 90 96
26	11	9	3	37 43 61 71 72 81
27	1	24	5	2 39 56 72 84 95 99
28	4	19	7	27 34 35 61 64 73 76 89 96
29	7	49	0	29 32 75 100
30	27	17	7	20 43
31	8	50	0	3 10 14 15 31 55 57 64 83 86 99
32	2	40	7	16 33 44 52 66 68 78 100
33	2	1	4	12 15 16 59 88 89
34	28	21	3	18 30 42 53 85 92
35	3	5	4	32 48 97
36	5	39	2	5 13 66 87 94
37	30	2	11	2 5 47 73 82 85 87
38	22	47	4	6 17 47
39	7	36	6	25 45 57 77
40	30	32	5	23 26 41 55 93
41	20	18	2	4 14 22 64 65 69 78 82
42	23	14	6	9 46 69 80
43	12	4	2	16 29 31
44	1	11	2	10 67 73 74 99
45	24	20	2	3 23 56 58 100
46	25	25	3	8 26 76
47	22	38	0	38 40 48 62
48	21	6	6	7 11 14 31 50 74
49	6	29	2	6 52 63 68 83 93 98
50	8	31	2	11 25 51 86
