Course	Room	Teacher	Time	Students
1	2	34	11	12 71 73 78
2	20	31	2	2 24 81
3	20	23	4	66 97
4	13	29	0	18 23 33 46
5	7	20	2	11 73 74 89
6	22	36	7	17 24 51 58 62
7	30	28	4	23 30 36 69 81 92 100
8	1	47	7	7 15 31 43 69 78 100
9	29	27	3	16 26 37 56 79 82 86
10	1	37	9	5 40 55 56 64 97 99
11	24	44	5	27 34 38 61 65 71 93
12	2	30	4	21 33
13	20	46	6	44 54 57 64 80
14	1	25	12	19 24 57 63 66 74 80 91
15	26	32	0	13 21 27 41 43 49 70 94
16	3	40	4	39 50 52 75
17	9	38	0	19 20 64 80 88 89 99
18	9	33	4	18 25 32
19	26	26	3	8 20 44 45 46 76
20	6	5	0	55 57 65 77 85
21	14	50	3	9 17 29 35 40 49 55 64 84
22	11	39	0	48 61 62 92
23	20	3	0	3 15 30 39 45 67 76 87
24	17	42	4	58 89
25	3	14	0	79
26	2	19	6	6 16 37 40 66
27	29	9	0	1 5 9 44 47 72 90 95
28	30	7	2	3 28 39 54 62 87 92
29	12	4	8	8 16 35 49 53 66 74 86 93
30	26	12	11	20 31 35 43 68 84
31	20	2	9	26 38 46 81
32	26	15	6	5 10 22 72 84 90 99
33	8	18	0	
34	26	1	9	6 12 18 34 41 42 59 73 77 88 100
35	2	48	8	4 30 32 70 96
36	21	6	3	51 59 94 95
37	1	10	4	12 47 60 67 68 70 88
38	10	17	5	31 98
39	12	22	3	13 27 41 48 53 96 98
40	2	16	0	10 36 71 75 91
41	24	49	0	2 6 17 60 63 74
42	15	24	0	26 37 50 58 68 78 82
43	11	45	9	10 29
44	23	11	2	42 83 93
45	13	43	3	5 22 77
46	20	13	12	7 42 51 52
47	1	8	0	11 14 28 29 32 38 52 59 73 97
48	1	35	2	4 6 14 60 68 69
49	25	41	2	65 78 85
50	14	21	6	11 14 20 91
