Course	Room	Teacher	Time	Students
1	29	49	0	7 19 29 33 35 59 79 97
2	9	50	0	66 80
3	17	39	4	6 7 11 14 18 47 78 92
4	1	30	10	31 51 60 62 69 71 73 76 88 98
5	20	31	3	2 26 83
6	7	47	7	19 30 56 89 93
7	13	37	2	13 37 93
8	23	24	2	5 6 8
9	19	16	0	16 28 38 44 82
10	24	35	4	5 41 48 57 60 70 71
11	10	44	0	20 31 87 90 94 99
12	7	13	0	10 32 34 73 88
13	7	12	10	2 48 54 78 91
14	27	20	2	15 46 61 100
15	15	32	8	5 37 39 49 52 63 66 72 82
16	20	9	7	9 61 75
17	22	19	10	10 20 26 40 95
18	19	21	6	24 27 42 50 73
19	21	17	2	20 23 32 87
20	28	14	0	5 48 53 86
21	18	18	3	4 12 25 50 66
22	2	23	6	28 34 45 74 90 98
23	1	22	3	31 33 35
24	24	8	0	74 81 85 98
25	6	41	10	1 23 43 46 47 57 75 85 86 93 97
26	1	48	0	4 9 15 18 36 45 67 72 93
27	15	40	4	44 62 81 82
28	11	45	3	1 42
29	1	36	6	10 17 55 59 77 88 91
30	2	4	0	2 26 55
31	18	5	0	3 41 65 95
32	15	15	0	27 54 62 70
33	4	34	0	1 11 14 22 78 92
34	5	33	3	30 89 94
35	23	10	0	6 68 83
36	6	29	0	47 49 57 58 63
37	12	7	0	25 37 61 100
38	14	42	4	38 58 80
39	16	3	2	9 18 36 43 64 69 88
40	14	27	0	24 39 51 52 84
41	7	25	2	17 56 67 74
42	14	38	8	33 83 96 99
43	2	46	2	68 77
44	10	11	2	55 72 91
45	13	28	0	8 17 43 50
46	6	43	7	3 15 22 29 53 65 67 71 95
47	6	6	3	19 22 40 76 86
48	1	26	12	16 53 55 68 77
49	29	1	8	12 21 92
50	8	2	4	13 21 29 52 64 84 85 96 99
