Course	Room	Teacher	Time	Students
1	12	40	2	14 41 51
2	6	3	8	19 20 38 45 53 71 73 85
3	7	2	0	13 64 100
4	11	41	2	46 56 81 87
5	25	23	5	5 47 77 85 97
6	1	9	9	27 41 54 62 95
7	18	42	0	2 8 43 75 78 83
8	1	32	3	4 9 17 94
9	4	6	0	1 63
10	17	17	5	88
11	7	47	5	14 33 69 79 84
12	10	19	0	29 40 61 81
13	16	31	2	20 23 53 98
14	23	46	3	25 26 37 62 91
15	28	38	3	96
16	3	26	2	29 43 50 72
17	2	10	0	31 84
18	1	37	7	6 8 15 16 33 59 95
19	10	12	5	3 20 65
20	10	50	7	9 24 28 31 55
21	11	36	5	2 7 27 36 38 71 90
22	17	44	0	4 21 58 92
23	25	5	0	3 16 17 23 77 96
24	3	35	4	21 44 48 56 87
25	22	30	5	46 57 60 82
26	4	16	4	8 39 49 72
27	26	28	0	24 57 99
28	27	27	2	16 28 44 48 67
29	7	45	8	7 11 30 34 40 50 87 92
30	24	25	2	6 19 24 83 99
31	16	13	0	10 44 93
32	3	8	7	49 70
33	4	39	7	61 79 81 94
34	9	43	2	11 59 61 78
35	1	24	0	36 38 55 74 86 91
36	12	21	0	12 18 94
37	2	18	9	36 47 52 56 96
38	29	15	0	27 35 47 70 71
39	10	33	2	2 34 45 73 77 82 85 90
40	12	1	5	22 35 45 78
41	11	4	0	15 34 46 49 65 73 79 87
42	19	7	2	5 12 30
43	9	34	5	10 23 58 66 93
44	16	22	5	19 54 83 92
45	6	29	5	12 13 18 42 51 52 53 64 67 68 76
46	21	14	0	7 25 33 37 39 60 69 80
47	6	11	2	10 22 42 57 66 75 93 97
48	8	49	4	11 15 31 32 40 59
49	8	48	0	5 14 26 32 68 76 88 95
50	2	20	4	1 28 30 74 89
