Course	Room	Teacher	Time	Students
1	20	34	9	23 33 49 53 54 68 76 88
2	8	20	0	1 5 35 37 38 44 57 80 91
3	17	21	0	2 14 15 16 24 97
4	26	47	11	12 26 27 29 56 65 91
5	25	32	0	25 34 68
6	8	10	2	8 14 43 46 52 88
7	12	14	5	2 4 53 71 78
8	28	49	0	54 58 89
9	18	22	0	3 10 30 32 59 63 78
10	8	6	6	10 31 47 48 69 87 91 94
11	16	40	5	6 7 30 45 50 60 66
12	2	42	12	22 23 36 42 49
13	3	43	10	9 16 69 71 93
14	11	7	2	7 23 26 28 37 45 50 71 76 94
15	17	28	2	3 18 51 65 72 92
16	20	46	4	55 70 84
17	4	45	6	12
18	18	19	2	19 39 74 78
19	18	18	5	16
20	7	2	12	18 33 43 59 63 76 95
21	15	3	2	11 17 69 79 95
22	19	9	8	2 19 40 51 73 90
23	1	38	9	15 36
24	3	39	2	31 38
25	1	37	0	4 7 23 28 29 49 84 87
26	2	31	8	18 21 28 70 84 99
27	11	33	0	18 27 39 48 51 56 67 77 99
28	16	15	0	19 52 64 66 75 90 100
29	19	41	5	11 27 41 68 92 96
30	7	36	4	34 36 59 85 100
31	2	26	2	4 12 24 29 60 86 87 90
32	26	5	8	11 32 34 41 58 66 79 81 86 96
33	10	27	5	17 20 22 61 77 80 82 98
34	21	1	7	13 14 46 76 85
35	17	48	6	1 42 43 62 74
36	7	30	0	73
37	1	25	5	25 49 89
38	1	23	2	6 13 20 32 42 64 80 82 91
39	4	24	9	72 85
40	15	11	11	34 37 39 74 92 98
41	19	29	2	5 30 57 77 97
42	3	12	6	9 56 57 65 97
43	2	13	5	32 73 75 86
44	6	50	0	33 47 70 83
45	4	17	3	15 21 47 63 83
46	21	16	0	22 40 55 81
47	25	4	4	
48	16	35	10	24 35 61 62 82 83
49	27	8	3	44 67 93
50	5	44	5	26 72
