Course	Room	Teacher	Time	Students
1	1	22	8	29 31 74 85 95
2	1	6	5	9 18 19 37 44
3	22	45	0	3 30 49 50 78 87
4	13	25	4	1 50 60
5	30	21	3	6 18 32 51 57 88
6	2	2	2	62 81 86 98
7	27	47	4	31 67 97
8	15	17	4	23 25 29 35 39 69 94
9	29	13	10	18 37 48 55 72 91 96 98 100
10	26	27	9	44 81 88
11	13	20	10	6 39 53 57 58 86 92
12	8	41	8	46 56
13	30	9	5	7 28 33 47 48
14	29	39	0	16 28 31 47 93 98
15	30	49	12	32 42 53 64 77 78
16	14	29	8	1 38 48 51 60 73 97
17	16	8	0	20 23 76 92 97 100
18	29	33	6	8 22 24 26 27 49 52 63 64 80 83 90 98
19	5	50	2	11 55 58 90
20	13	11	8	2 3 41 58 70
21	30	5	10	13 16 32 40 59 67 84 99
22	2	1	0	11 54 55 62 67 75 77 84 94
23	19	24	2	3 5 25 29 39 49 59 65 76 82 97
24	20	23	10	24 43 66 93
25	13	4	0	5 6 33 42 51 56
26	26	32	2	4 26 33 42 56 78 83
27	26	10	0	1 14 44 46 63 82 99
28	2	43	6	12 13 21 40 61 65 72
29	14	16	10	30 35 60 65 68 77 79
30	25	44	3	34 52 92
31	1	42	12	45 70
32	26	26	11	21 52 87 94
33	30	18	0	2 38 52 96
34	13	36	12	13 22 54 59 73 90
35	6	46	2	31
36	13	34	2	9 43 54 63 67 75 77 80
37	14	38	0	8 21 37 45 58 69 79 81 83
38	14	37	2	16 20
39	29	14	12	11 26 28 39 46 61 63 71 85
40	7	48	0	40
41	9	12	2	27 28 79 87
42	26	31	6	10 14 20 30 32 43 53 66 71 75 88
43	1	28	2	14 91
44	25	30	0	7 22 36 41
45	21	3	2	24 45
46	6	35	0	4 10 19 71 80
47	27	7	0	15 73 74 89
48	8	40	4	5 17 36 68 70 73 85 89 100
49	29	15	3	2 8 12 38 64 72 96 99
50	3	19	0	88
