case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,100,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0500,0.0253,137,0.6575,not_checked_structured_constraints
rooms_20,101,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0496,0.0246,132,0.67,not_checked_structured_constraints
rooms_40,102,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0477,0.0242,122,0.695,not_checked_structured_constraints
class_times_12,103,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0490,0.0241,158,0.605,not_checked_structured_constraints
class_times_18,104,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0462,0.0250,126,0.685,not_checked_structured_constraints
students_75,105,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0492,0.0236,102,0.66,not_checked_structured_constraints
students_150,106,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0475,0.0258,229,0.6183333333333333,not_checked_structured_constraints
capacity_tight,107,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0477,0.0243,150,0.625,not_checked_structured_constraints
capacity_large,108,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0613,0.0244,136,0.66,not_checked_structured_constraints
hours_more_short,109,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0477,0.0240,123,0.6925,not_checked_structured_constraints
hours_more_long,110,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0472,0.0238,138,0.655,not_checked_structured_constraints
