Course	Room	Teacher	Time	Students
1	4	41	0	19 23 34 47 90
2	36	27	7	6 16 23 37 54 74 76
3	15	8	4	2 31 36 37 73 92
4	29	50	7	5 8 9
5	30	44	0	24 60 84 85
6	31	9	10	4 14 16 26 27 34 43 69 93 99
7	36	17	0	2 29 40 52 61 63 74 83
8	15	3	0	6 14 76 81
9	30	6	7	60 68 94
10	27	35	4	33 46 51 53 87
11	7	13	6	21 45 52
12	38	48	4	11 17 44 48 60 64 78 91 96 100
13	4	11	2	9 32 57
14	2	21	4	1 6 16 19 68 77 86
15	22	33	0	10 28 66 77 94 100
16	2	22	0	25 32 44 50 65 88 99
17	1	7	7	10 14
18	14	30	0	41 71 82 92 98
19	33	24	6	13 15 24 35 39 71 84 99
20	10	32	2	7 63 89
21	1	14	0	11 30 62
22	2	16	11	3 25 46 58 59 64 70 75 85 96
23	1	38	5	3 38 41 43 69
24	32	19	0	42 45 48 54 79
25	36	29	12	10 32 33 36 42 63 73 84
26	33	31	0	1 8 20 22 26 46 69 87 91
27	36	2	2	25 56 75 82
28	6	36	0	37 73 97
29	36	25	10	6 19 78 81 83
30	13	18	2	46 51 58 67 83
31	34	26	2	1 8 27 38 59 80 84
32	9	20	0	3 27 36 67 72 75 89 93
33	28	15	2	15 22 24 34 47 64 90 100
34	3	46	0	7 51 59 96
35	24	10	0	17 33 39 86
36	5	28	3	14
37	35	39	2	71 77
38	1	23	3	21 88 97
39	34	37	0	4 18 21 35 49 53 55
40	3	49	2	20 52 69 70 95
41	7	1	2	10 13 31 66
42	1	43	11	13 40 65 87 98
43	2	42	7	1 2 40 56 67 95
44	29	5	4	12 18 26 61 62 93
45	38	47	2	2 4 12 18 28 72
46	3	34	7	79 90 96
47	39	45	7	4 7 20 22 31 44 57 92 98
48	40	12	7	11 27 29 49 51 61 62 66 85
49	3	40	4	49 50 55 59 76 80
50	31	4	3	5 35 42 54 65 74 79 81 85
