Course	Room	Teacher	Time	Students
1	21	43	3	7 32 113 119 148
2	22	25	5	12 13 92
3	2	14	2	1 9 20 47 69 74 122 133
4	15	41	0	1 12 67 75 103
5	29	45	0	2 39 55 87 97 101 123 137
6	14	34	0	15 24 54 78 92 100 118 146 147
7	6	38	0	21 27 38 59 120 127 132 138 139
8	13	40	0	10 20 33 89 121 133
9	7	12	7	7 30 76 85 87 121 145
10	20	44	6	17 29 42 82 129 139 150
11	6	35	3	4 17 38 42 56 76 78 103 127
12	8	9	0	7 18 22 36 70
13	1	20	2	26 61 71 109 130
14	3	3	5	49 81 93 95 97 124
15	19	30	4	36 39 51 55 57 63 91 123
16	10	17	0	28 30 40 58 64 68 83 111 114
17	9	16	3	62 75 88 98
18	20	31	10	3 11 37 49 50 54 64 87 108 127
19	1	42	8	5 43 99 120 138 143
20	2	13	0	11 23 31 69 71 109 140 148 150
21	9	36	0	65 108 125 149
22	6	26	9	10 13 35 36 74 85 128 142 149
23	29	50	5	3 26 27 40 44 53 86 108 111 120 133
24	8	32	8	58 62 101 107 122 141
25	22	2	0	14 45 49 56 90 116 136
26	1	22	5	11 28 109 135
27	7	48	2	54 70 81 93 94 100
28	8	29	2	16 18 79 82
29	7	28	0	16 34 42 46 47 73 81 85 113 115 126 131 143
30	19	15	0	3 4 26 29 84 99 128
31	2	18	5	61 73 117 128 130 144
32	7	24	5	19 20 22 31 52 59 65 67 72 79 126 131 137
33	17	37	0	6 19 25 44 60 80 105 106
34	15	6	2	22 31 37 67 89 102 115 117
35	6	11	12	8 52 56 68 74 100 101 114 131
36	10	21	4	45 64 77 80 84 138
37	18	33	4	6 8 37 58 60 99 110 134
38	6	7	6	4 10 14 33 94 96 98 102 105 112 114 123 125 146
39	4	47	2	13 15 24 50 53 66 92 124 141 146 147
40	14	8	3	5 14 30 41 116 125 140
41	13	4	2	91 118 126 142 145
42	1	19	0	9 37 52 63 86 119 145
43	21	1	0	17 43 57 88 110 129 144
44	20	10	2	33 35 46 48 107 112 121
45	30	5	7	26 41 51 52 57 66 71 75 127 131
46	23	49	3	40 96 128 129 132 136 149
47	5	39	5	1 2 16 34 71 83 104 118 122 143
48	8	27	5	21 23 101
49	25	46	0	41 51 61 72 77 91 98 130
50	30	23	0	5 53 62 112 134 135 141 142
