Course	Room	Teacher	Time	Days	Students
1	2	33	(0, 2)	MW	20 33 61 76
2	30	37	(0, 2)	MWF	2 17 30 37 43 81 89
3	21	7	(2, 3)	MW	12 32 44 46 88 97
4	13	43	(0, 1)	MW	16 39 45 88
5	3	35	(0, 3)	MW	1 54 91 95
6	21	48	(4, 5)	MWF	1 24 27 33 40 54 62 68 70 74
7	21	3	(0, 1)	MW	18 53
8	28	16	(5, 8)	M	13 21 22 29 81
9	10	26	(0, 1)	MWF	5 13 79 87
10	30	12	(7, 10)	M	5 26 28 71 79 83
11	1	44	(0, 1)	MWF	7 41 60 93
12	30	10	(3, 4)	MW	19 35 39 50 84
13	1	23	(11, 12)	TTHF	24 26 34 77
14	25	42	(0, 2)	MWF	28 35 36 42 69
15	4	22	(3, 6)	MW	20 60 90 96
16	26	8	(6, 7)	MW	38 43 52 54
17	26	30	(3, 5)	MW	36
18	21	41	(12, 13)	MWF	28 35 38 55 57 62 63 65 92
19	4	28	(0, 1)	MWF	4 59 77 80 97
20	23	45	(0, 1)	MWF	22 23 67 84 92
21	27	34	(0, 1)	MWF	9 21 24 27 49
22	2	15	(7, 9)	MWF	25 37 44 56 58 70 72
23	1	13	(12, 14)	MW	7 11 15 32 40 45 94 95
24	1	27	(8, 11)	MW	41 49 60 75 94 98
25	24	46	(0, 1)	MW	8 34 85 90 96
26	11	9	(3, 4)	MWF	37 43 61 71 72 81
27	1	24	(5, 7)	MWF	2 39 84 95 99
28	4	19	(7, 8)	MWF	27 34 35 61 73 76 89 96
29	7	49	(0, 1)	MWF	29 32 75 100
30	27	17	(7, 8)	MWF	20
31	8	50	(0, 1)	MW	3 10 14 15 31 55 57 64 86 99
32	30	40	(3, 4)	TTHF	9 16 44 50 52 66 78 100
33	2	1	(4, 6)	MW	12 15 16 59 88 89
34	28	21	(3, 4)	MWF	18 30 42 53 69 85 92
35	3	5	(4, 7)	MW	32 48 97
36	5	39	(2, 3)	MW	5 6 13 66 87 94
37	30	2	(11, 13)	MWF	2 5 47 73 82 85 87
38	29	47	(4, 7)	MW	6 17 47
39	7	36	(6, 9)	M	45 57 77
40	30	32	(5, 6)	MWF	23 26 41 55 93
41	21	18	(6, 8)	MW	4 14 64 65 67 78 82
42	23	14	(6, 9)	MW	9 46 69 80
43	12	4	(2, 3)	MW	16 29 31
44	1	11	(2, 3)	MWF	4 10 67 73 74 99
45	24	20	(2, 4)	MW	3 23 56 58 63 100
46	25	25	(3, 4)	MW	8 26 76 78 98
47	29	38	(0, 3)	MW	38 40 48 62 82
48	21	6	(9, 11)	MW	7 11 14 31 50 52 59 65 74 88 92
49	6	29	(0, 1)	MWF	6 52 63 68 83 98
50	8	31	(2, 5)	M	11 25 51 65 86
