Course	Room	Teacher	Time	Days	Students
1	18	34	(4, 6)	MW	12 73 78
2	20	31	(2, 3)	MWF	2 81
3	20	23	(4, 5)	MW	66 97
4	1	29	(0, 1)	TTHF	3 18 23 33 44 45 46
5	7	20	(0, 1)	MW	73 74
6	28	36	(0, 2)	MWF	24 25 51 58 62 99
7	18	28	(8, 10)	MW	23 30 36 69 92 100
8	1	47	(11, 12)	MWF	7 10 15 69 78 100
9	30	27	(0, 2)	MW	16 26 37 56 82 86
10	1	37	(0, 2)	MW	5 32 40 97
11	24	44	(3, 5)	MWF	27 34 38 61 65 71 93
12	26	30	(9, 10)	TTHF	21 33 36 40 41 60 76 82
13	20	46	(6, 8)	MW	4 44 54 57 64 80
14	1	25	(2, 4)	TTH	19 24 57 63 66 74 80 91
15	26	32	(0, 2)	MWF	13 21 27 43 49 55 69 94
16	26	40	(0, 3)	TTH	37 39 50 75
17	9	38	(0, 1)	MWF	19 20 64 75 80 89
18	9	33	(4, 7)	M	18 24 25 32 56 86
19	26	26	(3, 5)	MW	8 20 30 44 45 46 76
20	6	5	(3, 4)	MW	23 50 55 57 77
21	14	50	(3, 5)	MW	9 17 29 31 33 35 40 49 64 79 83 84 88
22	13	39	(0, 1)	MWF	48 61 92
23	20	3	(0, 1)	MW	3 15 30 39 45 67 76 87
24	1	42	(5, 7)	TTH	48 56 58 89
25	4	14	(0, 1)	MWF	36 79
26	26	19	(12, 13)	MWF	6 16 40 61 66 98
27	29	9	(0, 2)	MW	1 9 23 44 47 72 90 95
28	18	7	(2, 3)	MWF	3 28 39 54 87 92
29	2	4	(0, 1)	MWF	4 8 53 66
30	26	12	(9, 11)	MW	20 31 35 43 68 84
31	20	2	(9, 11)	MW	26 34 38 46 81
32	26	15	(6, 8)	MWF	5 7 10 22 53 72 84 90 99
33	8	18	(5, 8)	M	62 63 91
34	18	1	(0, 1)	MWF	6 12 34 41 42 59 77 88 100
35	1	48	(10, 12)	TTH	4 30 32 70 96
36	27	6	(3, 6)	MW	51 59 94 95
37	1	10	(8, 10)	MW	11 12 18 47 60 67 70 88
38	10	17	(0, 1)	MWF	31 57 98
39	12	22	(3, 4)	MWF	13 41 47 48 53 96 98
40	26	16	(4, 7)	TTH	3 10 36 43 71 75 92 93
41	24	49	(0, 1)	MWF	2 17 60 63 85
42	1	24	(13, 14)	MWF	1 9 19 26 37 50 58 68 78 82
43	3	45	(0, 1)	MWF	10 29 96
44	23	11	(0, 2)	MWF	35 70 83 93
45	1	43	(3, 5)	MW	5 16 22 52 58 67
46	20	13	(0, 2)	TTH	7 42 51 52
47	1	8	(8, 9)	TTHF	1 11 14 28 29 32 38 52 59 61 63 73 75 97
48	1	35	(6, 7)	MWF	6 9 14 17 28 60 68 69 87 98
49	25	41	(2, 4)	MW	85
50	14	21	(0, 2)	MW	7 11 14 50 65 91
