Course	Room	Teacher	Time	Days	Students
1	29	49	(0, 2)	MWF	7 29 33 35 58 63 77 79 97
2	9	50	(0, 2)	MWF	50 66 80
3	19	39	(4, 6)	MW	6 7 11 14 18 47 92
4	1	30	(10, 11)	MWF	31 51 60 62 69 71 73 76 88 98
5	20	31	(0, 3)	MW	2 6 26 83
6	7	47	(2, 4)	MWF	19 30 56 89 93
7	1	37	(8, 9)	MWF	13 37 65 93 97 100
8	23	24	(0, 1)	MW	8 68 69
9	19	16	(7, 10)	MW	16 28 44 59 80 92
10	24	35	(0, 2)	MW	5 27 41 48 57 60 70 76
11	10	44	(0, 1)	MWF	20 31 37 94
12	7	13	(0, 1)	MWF	10 19 32 34 73 88
13	7	12	(5, 7)	MW	2 48 51 75 78 91
14	27	20	(0, 2)	MW	15 46 61 100
15	15	32	(8, 11)	MW	5 39 40 49 52 63 66 72 82
16	20	9	(8, 10)	MWF	9 61 75 96 99
17	29	19	(3, 5)	TTHF	10 20 40 46 95
18	18	21	(6, 8)	MW	12 24 27 42 50 56 73
19	29	17	(8, 10)	MWF	20 23 32 36 87 89
20	28	14	(3, 4)	MWF	5 32 48 53 73
21	18	18	(3, 5)	MW	4 12 16 25 42 50 60 66
22	3	23	(0, 1)	MWF	28 45 90
23	1	22	(3, 5)	MW	8 31 35 57
24	24	8	(3, 4)	MW	29 74 85 98
25	6	41	(0, 2)	MW	23 43 47 71 75 85 86
26	1	48	(0, 1)	MWF	4 9 18 25 36 67 72 93
27	15	40	(0, 3)	MW	59 62 81 82
28	1	45	(12, 13)	MWF	1 14 42 69 84
29	6	36	(11, 14)	MW	10 17 53 55 59 70 77 91
30	2	4	(0, 1)	MWF	17 55
31	18	5	(0, 2)	MWF	3 65 95
32	15	15	(4, 7)	MW	13 45 54 61 62 63 64 70 90
33	4	34	(0, 2)	MW	1 11 14 22 54 74 78 92 98
34	5	33	(5, 7)	MW	30 38 89 94
35	23	10	(4, 5)	MWF	22 68 81
36	6	29	(3, 5)	TTHF	13 41 47 49 57 58 63 67 79
37	1	7	(3, 4)	TTHF	1 25 37 61 85 100
38	14	42	(11, 14)	MW	38 58 80
39	19	3	(2, 3)	MWF	9 18 36 69 88
40	14	27	(0, 3)	MW	24 39 44 51 84 87
41	7	25	(10, 12)	MW	56 67 74 95
42	14	38	(4, 6)	MWF	33 83 96 99
43	7	46	(3, 5)	TTH	26 30 36 44 68 77
44	10	11	(2, 4)	MW	55 72 91
45	1	28	(6, 7)	MWF	4 8 17 34 49
46	6	43	(7, 9)	MW	3 15 22 29 53 67 71 95
47	6	6	(3, 6)	MW	40 43 76 86
48	1	26	(0, 2)	TTH	16 53 55 68 77
49	29	1	(4, 7)	MW	21
50	8	2	(0, 2)	MWF	13 21 52 64 96 99
