Course	Room	Teacher	Time	Days	Students
1	1	26	(2, 3)	MW	9 17 34 62 71 73 79
2	1	9	(0, 1)	MWF	6 38 40 57 69 71 89
3	28	6	(10, 12)	TTH	5 35 52 54 56 86 99
4	12	41	(3, 4)	MWF	3 19 27
5	24	19	(4, 5)	MWF	2 12 38 66 72 75
6	28	3	(0, 2)	MW	25 47 55 56
7	17	46	(7, 10)	M	8 9 24
8	2	47	(4, 5)	MW	25 47 48 55 56 82 97 98
9	1	2	(12, 13)	MWF	10 18 41 58 74 96
10	2	40	(0, 3)	M	18 30 35 45 49 64 72 84 85 88 96
11	1	33	(4, 5)	MWF	15 61 64 90 95
12	2	13	(0, 3)	T	5 14 41 47 57 59 61 64 67 85 90
13	2	12	(13, 14)	MW	1 8 15 17 31 66 70 75 85 86 94
14	28	25	(5, 7)	TTH	16 21 23 48 93 100
15	8	37	(4, 5)	MW	14 18 35 43 58 84 86
16	8	22	(0, 1)	MW	2 13 14 70 77 79 93
17	17	31	(0, 2)	MW	4 16 37 44 65 90 92 95
18	28	28	(5, 6)	MWF	8 34 36 39 51 59 73 79 89
19	25	5	(0, 1)	MWF	5 10 21 26 80 83 87
20	7	39	(4, 5)	MWF	9 22 45 50 57
21	29	27	(3, 6)	MW	4 10 33 70 91
22	9	16	(0, 1)	MW	46 50 68 75
23	5	30	(0, 1)	MW	11 63
24	28	44	(3, 4)	MW	23 28 76
25	28	14	(8, 9)	TTHF	21 27 36 82 92
26	1	1	(8, 11)	M	3 16 22 41 42 44 71 91
27	29	21	(0, 2)	MWF	19 27 28 48 60 78 94 97
28	28	18	(0, 2)	TTH	20 24 37 44 49 62 77 80
29	28	42	(11, 13)	MW	57 69
30	3	23	(0, 3)	M	12 58 81
31	17	17	(11, 12)	MWF	33 72 94 97
32	2	50	(10, 12)	MW	23 29 31 40 54 55 56 90 92
33	1	11	(6, 7)	MWF	2 17 19 42 54
34	26	43	(2, 5)	MW	40
35	17	48	(3, 4)	MW	7 24 52 92
36	21	38	(7, 8)	MW	12 13 14 15 32 53 60 61 77 80 87 88 94
37	6	15	(0, 1)	MW	7 51 67 73
38	20	36	(5, 6)	MW	7 96
39	7	20	(0, 2)	MW	32 42 53 86 98 100
40	2	10	(6, 7)	MW	22 23 37 52 76 78 84
41	13	4	(2, 3)	MWF	1 6 15 29 36 54 69 89 99
42	28	29	(8, 10)	MW	18 19 38 39 52 68 76 100
43	27	34	(4, 7)	MW	1 6 49 67
44	28	24	(3, 4)	TTH	7 25 60 66 74 81 87 91 93
45	21	49	(4, 6)	MWF	11 13 32 46 62 63 81 83 85
46	17	7	(4, 7)	T	29 77 78 95
47	1	8	(2, 3)	TTH	26 43 68 69
48	17	35	(5, 6)	MW	3 20 31 60 71 74
49	20	45	(2, 4)	MWF	5 21 93
50	2	32	(8, 9)	MWF	6 20 26 28 30 34 63 65 67 99
