Course	Room	Teacher	Time	Days	Students
1	12	27	(7, 8)	MWF	3 29 43 44 71 75 82 94 97
2	3	41	(0, 1)	MWF	20 33 36 42 43 56 57
3	6	20	(4, 7)	T	13 35 53 56 57 61 94 98
4	9	22	(12, 14)	MW	4 16 20 22 34 45 87
5	12	14	(0, 2)	TTH	28 49 53 71 91
6	18	11	(5, 7)	MWF	35 45 66 90
7	1	9	(11, 14)	MW	8 10 72 98 99
8	5	17	(4, 5)	MWF	8 17 88
9	1	7	(0, 2)	MWF	23 39 45 52 82
10	15	39	(9, 11)	MW	28 32 38 41 52 59 100
11	18	6	(2, 4)	MWF	13 40 43 50 89 93
12	12	19	(0, 3)	MW	1 4 8 80
13	1	28	(3, 4)	TTHF	11 46 47 68 80 81 99
14	12	5	(4, 6)	MW	6 15 25 31 33 42 44 51 67 73 85 86 95
15	10	25	(0, 3)	MW	53 63 91
16	4	42	(2, 4)	MWF	36 56 78 96
17	5	8	(0, 2)	MW	15 29 30 55 72
18	6	45	(13, 14)	MWF	13 37 60 69 71
19	12	12	(12, 14)	MWF	12 15 18 29 48 50 51
20	6	3	(0, 1)	MW	9 22 27 60 74 92
21	1	31	(7, 10)	MW	2 9 18 58 78 85
22	10	4	(3, 5)	TTH	33 34 65
23	10	32	(0, 2)	TTH	12 27 57 80 81
24	6	37	(6, 9)	M	10 11 36 49 87 96
25	10	15	(5, 8)	MW	16 41
26	4	50	(0, 1)	MWF	17 18 40 97 100
27	12	1	(9, 11)	MW	24 47 51 62 68 76 79 94
28	1	13	(4, 6)	MW	5 32 58 62 69 80 92 99
29	9	36	(0, 3)	MW	16 31 64 69 83 84 88
30	15	35	(4, 6)	MWF	9 27 39 63 64 77 83 84
31	1	21	(7, 10)	TTH	26 42 54 83 85 90
32	9	23	(10, 11)	MWF	3 5 27 45 50 67 96
33	3	38	(10, 13)	MW	7 21 25 53 61 70 88 90
34	16	47	(0, 3)	M	26 58 59 66 70 79 95
35	15	30	(0, 2)	MWF	5 6 14 19 73 77
36	9	29	(4, 6)	MWF	2 7 21 38 52 55 79
37	6	24	(0, 3)	T	22 35 50 59
38	3	33	(7, 9)	MWF	30 39 55 73
39	15	10	(12, 13)	MWF	3 28 92 93
40	9	43	(7, 8)	MWF	6 19 22 23 25 28 37 51 59 64 74 91 98
41	3	2	(2, 4)	MW	24 37 41 46 90
42	4	16	(5, 8)	MW	1 12 24 34 46 70 76 93
43	10	40	(11, 12)	MWF	14 54 57 83
44	14	49	(3, 4)	MWF	14 19 35 71
45	6	18	(10, 12)	MW	11 44 55 65
46	6	48	(8, 10)	TTHF	4 17 38 89
47	17	34	(0, 1)	MW	25 81 85
48	6	46	(2, 5)	MW	18 20 48 75 87 97 100
49	13	44	(0, 1)	MWF	7 13 21 49 65 67
50	4	26	(9, 10)	MWF	48 54 60 74 82 98
