Course	Room	Teacher	Time	Days	Students
1	6	18	(0, 2)	MWF	46 59 64
2	3	46	(2, 3)	MWF	2 19 66 67 69 75
3	4	44	(0, 1)	MWF	29 47
4	7	12	(0, 1)	MW	22 56
5	8	42	(6, 8)	MW	9 23 28 35 51 62
6	19	11	(2, 3)	MWF	15 32
7	14	41	(6, 7)	MWF	18 43
8	27	39	(0, 2)	MW	40 43
9	2	10	(8, 11)	MW	46 47 58
10	2	9	(0, 2)	MWF	17 33 65
11	19	6	(0, 1)	MWF	1 2 4 28 68
12	3	4	(0, 1)	MW	7 13 25 26 54 74
13	1	47	(5, 8)	MW	2 11 52
14	1	27	(7, 9)	TTHF	27 63 64 68
15	14	32	(0, 1)	MWF	10 21 52 61 71
16	1	17	(10, 13)	TTH	25 42 58
17	1	16	(2, 4)	MWF	4 12 37 45 48 56
18	5	1	(5, 7)	MWF	13 46 47 50
19	13	21	(6, 8)	MW	6 20 22 30 38 40 56 57 70 74
20	18	45	(0, 3)	M	5 16 42 60
21	12	19	(8, 9)	MWF	5
22	12	43	(5, 7)	MWF	8 33 59
23	25	36	(0, 3)	MW	30 57
24	29	28	(4, 5)	MWF	34 54 62
25	12	29	(0, 1)	MWF	19 31 34
26	23	50	(0, 2)	MWF	
27	1	14	(9, 12)	MW	7 8 15 41 45 49 57 64
28	29	24	(6, 7)	MWF	39 45 54 55 73
29	13	25	(3, 5)	MW	55 61
30	29	40	(0, 3)	MW	49 72
31	8	37	(0, 2)	MWF	6 20 39 58
32	14	15	(2, 3)	MWF	14 31
33	28	49	(0, 2)	MW	23 35 36 38 55
34	26	35	(0, 1)	MWF	3 8 15 32
35	24	34	(0, 2)	MW	11 44 53
36	25	23	(6, 8)	MWF	34 71
37	8	31	(9, 12)	MW	14 48 53 63
38	20	48	(4, 6)	MW	42 60 75
39	27	8	(3, 5)	MW	7 10 39 71 73
40	29	30	(9, 12)	MW	23 34 50 52 70
41	14	7	(4, 5)	MWF	70
42	8	5	(3, 5)	MW	3 18 21 22 43 53 65
43	13	22	(9, 12)	MW	3 19 20 44 62 68 71 73 74
44	6	3	(3, 4)	MWF	1 59
45	17	20	(3, 4)	MW	6 9 44
46	5	2	(2, 4)	MW	24 25 28 29 51
47	1	13	(3, 6)	TTH	13 24 38 43 62
48	18	38	(4, 5)	MWF	35 63 67 68 69
49	28	33	(3, 4)	MWF	8 17 20 27 33 38
50	22	26	(5, 8)	MW	12 16 19 26 36 41
