Course	Room	Teacher	Time	Days	Students
1	30	26	(6, 7)	MW	8 25 89
2	7	8	(0, 2)	MWF	2 39 41 87
3	10	23	(0, 3)	MW	17 23 88
4	1	31	(11, 13)	MW	7 41 51 54 71 81 82
5	8	45	(0, 1)	MW	27 43 58 75 95
6	18	39	(11, 14)	M	8 24 32 35 36 40 52 60 62 87
7	15	29	(0, 2)	MWF	3 4 9 63 81 86
8	6	2	(0, 2)	MWF	26 31 37 55 65 77 79 82
9	16	25	(4, 5)	MWF	9 25 34 67 97
10	27	35	(3, 5)	MWF	4 5 6 10 15 33 36 61 86 92
11	19	40	(6, 7)	MWF	16 69 83 86 96
12	18	47	(7, 10)	MW	14 17 21 23 33 41 58 72 77 88
13	1	22	(0, 2)	MW	5 6 8 40 76 99
14	14	48	(0, 2)	MWF	11 30 56 92 100
15	3	21	(3, 4)	MWF	14 47 77
16	21	37	(0, 2)	MW	1 15 28 42 52 66 69 71
17	9	46	(0, 2)	MWF	7 12 19 35 44 51
18	18	38	(3, 6)	MW	2 40 43 48 73
19	28	20	(0, 2)	MWF	13 14 21 48 49 59 74 90
20	28	19	(3, 5)	TTHF	21 76 90 98
21	4	15	(0, 1)	MWF	16 29 33 68 72 80 94
22	2	13	(6, 8)	MW	50 62 66 67 80 90
23	9	3	(3, 6)	MW	26 31 32 78 99
24	2	50	(3, 5)	MWF	12 20 45 63
25	16	9	(2, 3)	MWF	27
26	30	1	(3, 4)	MW	22 38 65 69 85
27	1	44	(3, 5)	MWF	24 35 64 72 89
28	21	32	(3, 5)	TTH	3 7 38 60 78 82
29	15	7	(3, 5)	MWF	16 52 54 56 62
30	30	36	(8, 9)	MWF	38 40 54 82 100
31	2	4	(9, 10)	MWF	7 32 46 55 84 91
32	21	28	(6, 8)	TTH	14 32 35 59 80 81
33	21	34	(3, 6)	MW	37 87 91 93 100
34	21	33	(7, 9)	MWF	3 20 24 45 59 73 95 97 98
35	26	10	(3, 6)	MW	19 39 60 70
36	30	30	(0, 2)	MW	45 46 60 61 78 84
37	21	16	(10, 12)	MW	4 44
38	18	18	(0, 3)	TTH	12 17 27 34 47 55 67 72
39	19	6	(3, 4)	MW	44 49 83
40	19	11	(0, 2)	MW	50 85
41	1	49	(0, 1)	TTHF	10 71 75 83 88 96
42	28	43	(11, 13)	MW	15 28 43 65
43	28	42	(3, 5)	MW	1 18 42 84
44	2	27	(11, 14)	MW	13 34 50 63 75 76
45	5	5	(3, 6)	M	13 51 58 68 95
46	11	17	(3, 5)	MWF	46 53 66 74 79
47	19	12	(8, 10)	MWF	25 64
48	12	14	(5, 8)	MW	28 29 30 47 49 57
49	2	41	(0, 2)	MW	10 18 54 73 89
50	1	24	(7, 10)	MW	2 15 22 43 63 75 92 94
