Course	Room	Teacher	Time	Days	Students
1	29	7	(0, 3)	MW	4 23 27 98
2	2	8	(2, 5)	M	1 10 56 67 75 99
3	18	36	(5, 6)	MWF	24 26 81 85 96
4	10	40	(4, 6)	MWF	16 48 54 57 58 76 91
5	20	39	(0, 1)	MWF	20 26 36 51
6	18	48	(7, 10)	TTH	6 7 35
7	30	1	(6, 8)	MWF	46 50 72 89
8	1	2	(5, 8)	M	2 37
9	10	33	(0, 1)	MWF	17 21 30 34 38 49 71 74 79
10	4	29	(2, 5)	MW	9 39 46 49 61 72 94
11	3	44	(0, 1)	MWF	39 42 47 78 90
12	10	25	(2, 5)	TTH	1 9 29 31 37 56 79 87
13	12	23	(2, 3)	MWF	6 32 63 78
14	18	50	(0, 2)	MW	16 19 54 65 68 91 93
15	20	41	(2, 4)	MWF	8 14 33 38 40 70 80 81
16	14	22	(2, 4)	MW	7 11 34 71 79 82
17	8	26	(6, 9)	M	38 61 67
18	23	38	(2, 3)	MW	5 12 17 42 52 100
19	9	32	(0, 1)	MW	28 43 56 66
20	9	47	(6, 7)	MW	1 8 27 65 82
21	19	37	(0, 2)	MW	15 18 58
22	13	16	(4, 5)	MWF	4 36 68 69 78 98
23	11	13	(2, 3)	MWF	13 24 60
24	23	46	(0, 1)	MW	2 3 5 29 45 46 52 80 84 87 94
25	10	12	(6, 9)	TTH	13 42 48 55 64 66 74 98 100
26	5	17	(0, 1)	MW	25 48 85 88 99
27	9	30	(3, 5)	TTH	19 27 54 66 77
28	6	35	(0, 1)	MWF	35 55 61 69
29	4	10	(6, 9)	MW	53 55
30	10	27	(7, 9)	MW	3 6 11 28 47 57 62 64 66 71 83 88 100
31	20	45	(7, 8)	TTHF	23 30 65 81 82 83
32	9	19	(10, 11)	MW	3 20 43 45 57 69 95
33	10	9	(2, 3)	MWF	2 36 74 76 85 86
34	18	42	(3, 4)	MW	18 21 37 41 43 45 59 64 83 90 92 96
35	7	28	(0, 2)	MW	59 62
36	18	3	(2, 3)	TTHF	35 53 67 95 96
37	18	21	(0, 1)	TTHF	6 13 24 41 43 52 87
38	24	18	(2, 5)	M	22 50 53 73
39	20	5	(0, 2)	TTH	20 30 92
40	9	4	(0, 2)	TTHF	12 54 77
41	20	15	(7, 10)	MW	12 56 70 77 97
42	18	34	(7, 8)	MW	16 48 49 60 68 76 90 99
43	28	49	(5, 7)	MW	7 21 32 51 79 93
44	2	11	(0, 1)	MWF	11 22 31 37 44 60 63 73 81 92 96
45	20	31	(5, 6)	MWF	14 28 44 88 97 100
46	25	24	(0, 1)	MW	8 10 67 70 75 86 89
47	9	20	(3, 4)	MW	25 26 62 65 84
48	18	6	(9, 11)	MWF	9 25 33 63 92
49	28	43	(8, 10)	MW	4 7 31
50	18	14	(4, 6)	TTH	17 20 40 41 50 73 76 86 93
