case,seed,class_times,rooms,classes,min_rooms_per_building,min_room_capacity,max_room_capacity,students,credit_hours,credit_hour_weights,generation_seconds,scheduling_seconds,couldnt_enroll,optimality,validation
baseline,500,15,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0469,0.0228,136,0.66,valid
rooms_20,501,15,20,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0407,0.0210,114,0.715,valid
rooms_40,502,15,40,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0407,0.0210,121,0.6975,valid
class_times_12,503,12,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0403,0.0205,112,0.72,valid
class_times_18,504,18,30,50,1,6,120,100,"2,3,4","0.15,0.55,0.30",0.0416,0.0302,143,0.6425,valid
students_75,505,15,30,50,1,6,120,75,"2,3,4","0.15,0.55,0.30",0.0422,0.0203,90,0.7,valid
students_150,506,15,30,50,1,6,120,150,"2,3,4","0.15,0.55,0.30",0.0411,0.0224,185,0.6917,valid
capacity_tight,507,15,30,50,1,6,60,100,"2,3,4","0.15,0.55,0.30",0.0417,0.0209,111,0.7225,valid
capacity_large,508,15,30,50,1,40,140,100,"2,3,4","0.15,0.55,0.30",0.0401,0.0209,88,0.78,valid
hours_more_short,509,15,30,50,1,6,120,100,"2,3,4","0.45,0.40,0.15",0.0404,0.0234,92,0.77,valid
hours_more_long,510,15,30,50,1,6,120,100,"2,3,4","0.05,0.35,0.60",0.0419,0.0212,90,0.775,valid
