Course	Room	Teacher	Time	Students
1	6	5	1	13 20 27 30 43 48 57 
2	10	24	1	10 12 56 66 70 
3	7	3	5	17 52 55 60 63 82 84 99 
4	9	11	2	10 39 66 70 71 73 74 91 97 100 
5	8	24	2	11 15 26 42 56 79 83 96 
6	2	17	5	35 96 
7	6	3	3	18 21 49 55 72 91 
8	4	10	1	7 15 25 40 59 76 83 99 
9	4	21	2	16 24 44 63 69 72 76 86 89 99 
10	3	15	2	13 21 35 51 57 67 80 85 
11	1	20	4	15 36 54 66 98 
12	10	7	3	8 12 32 60 100 
13	8	4	5	31 43 47 92 
14	7	6	2	2 3 5 9 25 36 45 50 94 95 
15	6	10	2	14 18 20 30 88 
16	1	7	2	41 47 52 54 60 81 90 93 
17	5	21	1	3 11 23 26 58 64 92 95 100 
18	10	13	4	9 16 22 29 
19	4	8	3	17 20 42 43 58 70 73 
20	5	4	4	4 18 32 48 94 
21	3	1	3	22 45 50 52 67 75 80 
22	6	22	5	15 89 
23	8	22	1	8 14 33 34 52 62 69 82 
24	3	14	4	6 17 37 53 
25	8	15	3	13 19 78 81 87 
26	6	2	4	40 68 71 76 93 
27	4	18	4	1 2 26 33 38 47 
28	1	19	3	7 9 10 35 38 51 62 76 
29	1	19	1	2 28 36 46 50 68 
30	5	2	5	61 70 78 83 
31	1	23	5	22 46 48 51 87 
32	5	14	3	27 61 89 93 
33	7	8	4	19 28 31 49 73 77 79 85 88 
34	9	20	1	16 31 35 63 71 85 94 
35	4	16	5	20 40 54 64 71 77 
36	8	6	4	58 62 74 97 
37	10	5	5	21 66 
38	9	13	5	37 38 42 72 88 93 
39	2	9	4	5 30 34 39 46 
40	3	25	5	29 32 74 91 94 
41	7	18	1	1 17 29 37 51 54 65 78 86 87 
42	7	11	3	4 11 33 34 39 53 83 85 90 92 95 
43	2	16	1	4 5 24 44 96 
44	9	17	3	24 26 28 30 31 40 41 64 84 
45	9	12	4	7 21 23 43 61 91 
46	3	25	1	19 42 55 75 80 88 90 98 
47	2	23	3	6 16 37 98 
48	10	12	2	22 29 53 68 
49	5	1	2	8 12 23 48 59 65 87 
50	2	9	2	1 19 27 75 84 92 
