case,optimality_mean,optimality_min,optimality_max,couldnt_enroll_mean,scheduling_seconds_mean,runs
baseline,0.6925,0.665,0.7125,123.0,0.03030104786157608,5
rooms_20,0.737,0.715,0.75,105.2,0.029893872141838074,5
rooms_40,0.6829999999999999,0.6425,0.7075,126.8,0.029825394600629808,5
class_times_12,0.6745,0.6275,0.72,130.2,0.032821451872587205,5
class_times_18,0.6905,0.6275,0.77,123.8,0.028621616214513777,5
students_75,0.6673334,0.616667,0.7,99.8,0.030906690657138823,5
students_150,0.688333,0.638333,0.753333,187.0,0.032043693214654924,5
capacity_tight,0.7145,0.67,0.765,114.2,0.03133386597037315,5
capacity_large,0.706,0.65,0.78,117.6,0.029827336966991424,5
hours_more_short,0.7245,0.6325,0.77,110.2,0.02772114723920822,5
hours_more_long,0.7095,0.6675,0.775,116.2,0.030962075293064117,5
