case,seed,optimality,couldnt_enroll,student_pref_value,best_case_pref_value,scheduling_seconds
baseline,100,0.6975,121,279,400,0.028883546590805054
baseline,200,0.6875,125,275,400,0.027613721787929535
baseline,300,0.7,120,280,400,0.027542386204004288
baseline,400,0.7125,115,285,400,0.03954358398914337
baseline,500,0.665,134,266,400,0.027922000735998154
rooms_20,100,0.7325,107,293,400,0.02757861092686653
rooms_20,200,0.745,102,298,400,0.027629971504211426
rooms_20,300,0.75,100,300,400,0.038542427122592926
rooms_20,400,0.7425,103,297,400,0.027492061257362366
rooms_20,500,0.715,114,286,400,0.02822628989815712
rooms_40,100,0.705,118,282,400,0.02787020057439804
rooms_40,200,0.6425,143,257,400,0.02783125266432762
rooms_40,300,0.7075,117,283,400,0.027936089783906937
rooms_40,400,0.6675,133,267,400,0.03766050189733505
rooms_40,500,0.6925,123,277,400,0.02782892808318138
class_times_12,100,0.6475,141,259,400,0.03715026378631592
class_times_12,200,0.6275,149,251,400,0.02821408584713936
class_times_12,300,0.695,122,278,400,0.036706604063510895
class_times_12,400,0.6825,127,273,400,0.033730167895555496
class_times_12,500,0.72,112,288,400,0.028306137770414352
class_times_18,100,0.68,128,272,400,0.02893640846014023
class_times_18,200,0.6275,149,251,400,0.028323862701654434
class_times_18,300,0.71,116,284,400,0.028321873396635056
class_times_18,400,0.77,92,308,400,0.029257871210575104
class_times_18,500,0.665,134,266,400,0.02826806530356407
students_75,100,0.67,99,201,300,0.03481527790427208
students_75,200,0.616667,115,185,300,0.02652636542916298
students_75,300,0.653333,104,196,300,0.03926769271492958
students_75,400,0.696667,91,209,300,0.026746440678834915
students_75,500,0.7,90,210,300,0.027177676558494568
students_150,100,0.638333,217,383,600,0.04201265797019005
students_150,200,0.753333,148,452,600,0.029325664043426514
students_150,300,0.708333,175,425,600,0.029399320483207703
students_150,400,0.663333,202,398,600,0.029801279306411743
students_150,500,0.678333,193,407,600,0.029679544270038605
capacity_tight,100,0.695,122,278,400,0.028415460139513016
capacity_tight,200,0.67,132,268,400,0.03574519231915474
capacity_tight,300,0.765,94,306,400,0.02767924964427948
capacity_tight,400,0.72,112,288,400,0.028987661004066467
capacity_tight,500,0.7225,111,289,400,0.035841766744852066
capacity_large,100,0.7225,111,289,400,0.02851789817214012
capacity_large,200,0.695,122,278,400,0.027537837624549866
capacity_large,300,0.6825,127,273,400,0.028110340237617493
capacity_large,400,0.65,140,260,400,0.036853328347206116
capacity_large,500,0.78,88,312,400,0.028117280453443527
hours_more_short,100,0.7275,109,291,400,0.027812447398900986
hours_more_short,200,0.7675,93,307,400,0.027877215296030045
hours_more_short,300,0.6325,147,253,400,0.027519311755895615
hours_more_short,400,0.725,110,290,400,0.027725301682949066
hours_more_short,500,0.77,92,308,400,0.027671460062265396
hours_more_long,100,0.705,118,282,400,0.02866901457309723
hours_more_long,200,0.6675,133,267,400,0.037492673844099045
hours_more_long,300,0.6875,125,275,400,0.02753756195306778
hours_more_long,400,0.7125,115,285,400,0.027900300920009613
hours_more_long,500,0.775,90,310,400,0.03321082517504692
