case,optimality_mean,optimality_min,optimality_max,couldnt_enroll_mean,scheduling_seconds_mean,runs
baseline,0.6725,0.63,0.7025,131.0,0.02758542522788048,5
rooms_20,0.7155,0.6975,0.735,113.8,0.02968142107129097,5
rooms_40,0.6695,0.6575,0.69,132.2,0.029123688489198683,5
class_times_12,0.6765,0.6525,0.73,129.4,0.029043544083833694,5
class_times_18,0.6885,0.6675,0.71,124.6,0.029909973591566087,5
students_75,0.6653334,0.606667,0.696667,100.4,0.0279475137591362,5
students_150,0.6846668,0.656667,0.716667,189.2,0.029777442663908006,5
capacity_tight,0.6905,0.6125,0.7325,123.8,0.030636192858219148,5
capacity_large,0.6545,0.6,0.745,138.2,0.03150388076901436,5
hours_more_short,0.6765,0.6325,0.72,129.4,0.03333641886711121,5
hours_more_long,0.6455,0.6075,0.6675,141.8,0.032202597707509995,5
