case,seed,optimality,couldnt_enroll,student_pref_value,best_case_pref_value,scheduling_seconds
baseline,100,0.7025,119,281,400,0.0267585851252079
baseline,200,0.685,126,274,400,0.026785504072904587
baseline,300,0.63,148,252,400,0.030613373965024948
baseline,400,0.6825,127,273,400,0.027046576142311096
baseline,500,0.6625,135,265,400,0.026723086833953857
rooms_20,100,0.6975,121,279,400,0.02688150852918625
rooms_20,200,0.71,116,284,400,0.03286227956414223
rooms_20,300,0.7075,117,283,400,0.027486730366945267
rooms_20,400,0.7275,109,291,400,0.028007112443447113
rooms_20,500,0.735,106,294,400,0.033169474452733994
rooms_40,100,0.69,124,276,400,0.02702634036540985
rooms_40,200,0.6675,133,267,400,0.02925989031791687
rooms_40,300,0.6575,137,263,400,0.02690466120839119
rooms_40,400,0.6625,135,265,400,0.03405375778675079
rooms_40,500,0.67,132,268,400,0.02837379276752472
class_times_12,100,0.73,108,292,400,0.030705992132425308
class_times_12,200,0.655,138,262,400,0.028567474335432053
class_times_12,300,0.68,128,272,400,0.03329874947667122
class_times_12,400,0.6525,139,261,400,0.026501167565584183
class_times_12,500,0.665,134,266,400,0.02614433690905571
class_times_18,100,0.6825,127,273,400,0.027494944632053375
class_times_18,200,0.71,116,284,400,0.03447200730443001
class_times_18,300,0.6675,133,267,400,0.0323873832821846
class_times_18,400,0.6975,121,279,400,0.027126360684633255
class_times_18,500,0.685,126,274,400,0.02806917205452919
students_75,100,0.606667,118,182,300,0.02599392458796501
students_75,200,0.696667,91,209,300,0.03552945703268051
students_75,300,0.686667,94,206,300,0.025893688201904297
students_75,400,0.643333,107,193,300,0.026061583310365677
students_75,500,0.693333,92,208,300,0.026258915662765503
students_150,100,0.656667,206,394,600,0.028718966990709305
students_150,200,0.683333,190,410,600,0.03316887468099594
students_150,300,0.696667,182,418,600,0.028621811419725418
students_150,400,0.716667,170,430,600,0.029554519802331924
students_150,500,0.67,198,402,600,0.028823040425777435
capacity_tight,100,0.6125,155,245,400,0.03217514976859093
capacity_tight,200,0.72,112,288,400,0.038061223924160004
capacity_tight,300,0.7325,107,293,400,0.029297009110450745
capacity_tight,400,0.6575,137,263,400,0.026786118745803833
capacity_tight,500,0.73,108,292,400,0.026861462742090225
capacity_large,100,0.64,144,256,400,0.03634856641292572
capacity_large,200,0.64,144,256,400,0.02686597779393196
capacity_large,300,0.745,102,298,400,0.04009958356618881
capacity_large,400,0.6,160,240,400,0.02726053074002266
capacity_large,500,0.6475,141,259,400,0.02694474533200264
hours_more_short,100,0.6325,147,253,400,0.02672398090362549
hours_more_short,200,0.72,112,288,400,0.03281603008508682
hours_more_short,300,0.6975,121,279,400,0.040083251893520355
hours_more_short,400,0.6625,135,265,400,0.03841013088822365
hours_more_short,500,0.67,132,268,400,0.028648700565099716
hours_more_long,100,0.65,140,260,400,0.03755546361207962
hours_more_long,200,0.6575,137,263,400,0.03266067057847977
hours_more_long,300,0.645,142,258,400,0.029237177222967148
hours_more_long,400,0.6075,157,243,400,0.028070956468582153
hours_more_long,500,0.6675,133,267,400,0.033488720655441284
