case,mapped_mean,random_mean,delta_mean,mapped_blocked,random_blocked
baseline,0.6925,0.6725,0.020000000000000018,123.0,131.0
rooms_20,0.737,0.7155,0.021499999999999964,105.2,113.8
rooms_40,0.6829999999999999,0.6695,0.013499999999999956,126.8,132.2
class_times_12,0.6745,0.6765,-0.0020000000000000018,130.2,129.4
class_times_18,0.6905,0.6885,0.0020000000000000018,123.8,124.6
students_75,0.6673334,0.6653334,0.0020000000000000018,99.8,100.4
students_150,0.688333,0.6846668,0.003666199999999953,187.0,189.2
capacity_tight,0.7145,0.6905,0.02400000000000002,114.2,123.8
capacity_large,0.706,0.6545,0.05149999999999999,117.6,138.2
hours_more_short,0.7245,0.6765,0.04800000000000004,110.2,129.4
hours_more_long,0.7095,0.6455,0.06400000000000006,116.2,141.8
