case,case_tex,optimality_mean,optimality_stdev,optimality_min,optimality_max,scheduling_seconds_mean,runs
baseline,baseline,0.6795,0.021168963130016545,0.66,0.7125,0.02276,5
rooms_20,rooms\_20,0.7345,0.011911129249571616,0.715,0.745,0.023020000000000002,5
rooms_40,rooms\_40,0.6839999999999999,0.02815137652051851,0.6425,0.7075,0.02238,5
class_times_12,class\_times\_12,0.6659999999999999,0.03955218072369714,0.6275,0.72,0.02168,5
class_times_18,class\_times\_18,0.681,0.05541322044422254,0.6275,0.77,0.02378,5
students_75,students\_75,0.662,0.035796508209600536,0.6167,0.7,0.02212,5
students_150,students\_150,0.6856599999999999,0.04292514414652558,0.6383,0.7533,0.0224,5
capacity_tight,capacity\_tight,0.7125,0.03699662146737184,0.67,0.765,0.02086,5
capacity_large,capacity\_large,0.7030000000000001,0.05271977807237053,0.65,0.78,0.02106,5
hours_more_short,hours\_more\_short,0.7165,0.05993746741396403,0.625,0.77,0.0217,5
hours_more_long,hours\_more\_long,0.7005,0.04396020928066653,0.6675,0.775,0.02104,5
