case,runs_reduced,runs_restored,mean_reduced,mean_restored,mean_delta,min_reduced,min_restored,min_delta,max_reduced,max_restored,max_delta
baseline,5,5,0.664,0.6795,0.015499999999999958,0.655,0.66,0.0050000000000000044,0.685,0.7125,0.02749999999999997
rooms_20,5,5,0.7285,0.7345,0.006000000000000005,0.7175,0.715,-0.0025000000000000577,0.7325,0.745,0.012499999999999956
rooms_40,5,5,0.6809999999999999,0.6839999999999999,0.0030000000000000027,0.6425,0.6425,0.0,0.7075,0.7075,0.0
class_times_12,5,5,0.666,0.6659999999999999,-1.1102230246251565e-16,0.6325,0.6275,-0.0050000000000000044,0.705,0.72,0.015000000000000013
class_times_18,5,5,0.6785,0.681,0.0025000000000000577,0.6275,0.6275,0.0,0.755,0.77,0.015000000000000013
students_75,5,5,0.6566666,0.662,0.005333400000000044,0.61,0.616667,0.0066669999999999785,0.696667,0.7,0.0033329999999999194
students_150,5,5,0.6703334,0.6856666,0.015333200000000047,0.626667,0.638333,0.011666000000000065,0.713333,0.753333,0.040000000000000036
capacity_tight,5,5,0.704,0.7125,0.008500000000000063,0.65,0.67,0.020000000000000018,0.7575,0.765,0.007500000000000062
capacity_large,5,5,0.6765,0.7030000000000001,0.02650000000000008,0.615,0.65,0.03500000000000003,0.765,0.78,0.015000000000000013
hours_more_short,5,5,0.7105,0.7165,0.006000000000000005,0.625,0.625,0.0,0.77,0.77,0.0
hours_more_long,5,5,0.6905,0.7005,0.010000000000000009,0.6375,0.6675,0.030000000000000027,0.75,0.775,0.025000000000000022
