case,case_tex,optimality_mean,optimality_stdev,optimality_min,optimality_max,scheduling_seconds_mean,runs
baseline,baseline,0.664,0.01341640786499875,0.655,0.685,0.03024197518825531,5
rooms_20,rooms\_20,0.7285,0.006274950199005566,0.7175,0.7325,0.025765030086040495,5
rooms_40,rooms\_40,0.6809999999999999,0.027477263328068185,0.6425,0.7075,0.027532363682985304,5
class_times_12,class\_times\_12,0.666,0.0298223909168933,0.6325,0.705,0.02511963024735451,5
class_times_18,class\_times\_18,0.6785,0.04951641142086129,0.6275,0.755,0.02762051373720169,5
students_75,students\_75,0.6566666,0.03778600564097772,0.61,0.696667,0.024167057126760483,5
students_150,students\_150,0.6703334,0.037682551224671616,0.626667,0.713333,0.027509640157222747,5
capacity_tight,capacity\_tight,0.704,0.04339498818988199,0.65,0.7575,0.026575414836406706,5
capacity_large,capacity\_large,0.6765,0.062489999199871964,0.615,0.765,0.025368066132068635,5
hours_more_short,hours\_more\_short,0.7105,0.058320236625034376,0.625,0.77,0.02586345374584198,5
hours_more_long,hours\_more\_long,0.6905,0.04090385067447808,0.6375,0.75,0.02709271088242531,5
