case,case_tex,seed,optimality,scheduling_seconds
baseline,baseline,100,0.655,0.03454982861876488
baseline,baseline,200,0.685,0.03145826235413551
baseline,baseline,300,0.655,0.028439722955226898
baseline,baseline,400,0.67,0.027513843029737473
baseline,baseline,500,0.655,0.02924821898341179
rooms_20,rooms\_20,100,0.7325,0.024527505040168762
rooms_20,rooms\_20,200,0.73,0.02412097156047821
rooms_20,rooms\_20,300,0.7325,0.027403559535741806
rooms_20,rooms\_20,400,0.73,0.028314657509326935
rooms_20,rooms\_20,500,0.7175,0.02445845678448677
rooms_40,rooms\_40,100,0.7075,0.028279248625040054
rooms_40,rooms\_40,200,0.6425,0.02459682524204254
rooms_40,rooms\_40,300,0.6925,0.024027090519666672
rooms_40,rooms\_40,400,0.6625,0.03234399855136871
rooms_40,rooms\_40,500,0.7,0.028414655476808548
class_times_12,class\_times\_12,100,0.6725,0.02552386373281479
class_times_12,class\_times\_12,200,0.6325,0.027470778673887253
class_times_12,class\_times\_12,300,0.68,0.02412937581539154
class_times_12,class\_times\_12,400,0.64,0.024654332548379898
class_times_12,class\_times\_12,500,0.705,0.023819800466299057
class_times_18,class\_times\_18,100,0.6825,0.031546130776405334
class_times_18,class\_times\_18,200,0.6275,0.024762466549873352
class_times_18,class\_times\_18,300,0.685,0.027886327356100082
class_times_18,class\_times\_18,400,0.755,0.02547789365053177
class_times_18,class\_times\_18,500,0.6425,0.028429750353097916
students_75,students\_75,100,0.633333,0.02372654154896736
students_75,students\_75,200,0.61,0.02383776754140854
students_75,students\_75,300,0.65,0.023233380168676376
students_75,students\_75,400,0.696667,0.022930193692445755
students_75,students\_75,500,0.693333,0.027107402682304382
students_150,students\_150,100,0.626667,0.03015991672873497
students_150,students\_150,200,0.713333,0.025853358209133148
students_150,students\_150,300,0.666667,0.029356900602579117
students_150,students\_150,400,0.641667,0.025401383638381958
students_150,students\_150,500,0.703333,0.026776641607284546
capacity_tight,capacity\_tight,100,0.65,0.029600605368614197
capacity_tight,capacity\_tight,200,0.67,0.024405598640441895
capacity_tight,capacity\_tight,300,0.7575,0.028197668492794037
capacity_tight,capacity\_tight,400,0.72,0.025942184031009674
capacity_tight,capacity\_tight,500,0.7225,0.024731017649173737
capacity_large,capacity\_large,100,0.69,0.029969919472932816
capacity_large,capacity\_large,200,0.615,0.02403688058257103
capacity_large,capacity\_large,300,0.695,0.02449847012758255
capacity_large,capacity\_large,400,0.6175,0.024136096239089966
capacity_large,capacity\_large,500,0.765,0.02419896423816681
hours_more_short,hours\_more\_short,100,0.695,0.028425786644220352
hours_more_short,hours\_more\_short,200,0.76,0.02456039935350418
hours_more_short,hours\_more\_short,300,0.625,0.024154774844646454
hours_more_short,hours\_more\_short,400,0.7025,0.024425841867923737
hours_more_short,hours\_more\_short,500,0.77,0.027750466018915176
hours_more_long,hours\_more\_long,100,0.7025,0.024591855704784393
hours_more_long,hours\_more\_long,200,0.6375,0.027864426374435425
hours_more_long,hours\_more\_long,300,0.685,0.029973555356264114
hours_more_long,hours\_more\_long,400,0.6775,0.028462223708629608
hours_more_long,hours\_more\_long,500,0.75,0.024571493268013
