case,case_tex,optimality_mean,optimality_stdev,optimality_min,optimality_max,scheduling_seconds_mean,runs
baseline,baseline,0.6795,0.021168963130016545,0.66,0.7125,0.028915050625801086,5
rooms_20,rooms\_20,0.7345,0.011911129249571616,0.715,0.745,0.02759299725294113,5
rooms_40,rooms\_40,0.6839999999999999,0.02815137652051851,0.6425,0.7075,0.028300120681524276,5
class_times_12,class\_times\_12,0.6659999999999999,0.03955218072369714,0.6275,0.72,0.026905692368745803,5
class_times_18,class\_times\_18,0.681,0.05541322044422254,0.6275,0.77,0.026859556883573533,5
students_75,students\_75,0.662,0.03579265132677377,0.616667,0.7,0.0267083041369915,5
students_150,students\_150,0.6856666,0.04292435982982158,0.638333,0.753333,0.026931919902563096,5
capacity_tight,capacity\_tight,0.7125,0.03699662146737184,0.67,0.765,0.02566094249486923,5
capacity_large,capacity\_large,0.7030000000000001,0.05271977807237053,0.65,0.78,0.02654930204153061,5
hours_more_short,hours\_more\_short,0.7165,0.05993746741396403,0.625,0.77,0.02657649964094162,5
hours_more_long,hours\_more\_long,0.7005,0.04396020928066653,0.6675,0.775,0.027515371888875963,5
