case,case_tex,seed,optimality,scheduling_seconds
baseline,baseline,100,0.6725,0.02786119282245636
baseline,baseline,200,0.6875,0.026454411447048187
baseline,baseline,300,0.665,0.030239395797252655
baseline,baseline,400,0.7125,0.03566132113337517
baseline,baseline,500,0.66,0.024358931928873062
rooms_20,rooms\_20,100,0.7325,0.026334520429372787
rooms_20,rooms\_20,200,0.745,0.02447788044810295
rooms_20,rooms\_20,300,0.7375,0.025727231055498123
rooms_20,rooms\_20,400,0.7425,0.02791142836213112
rooms_20,rooms\_20,500,0.715,0.03351392596960068
rooms_40,rooms\_40,100,0.705,0.024366743862628937
rooms_40,rooms\_40,200,0.6425,0.03312636539340019
rooms_40,rooms\_40,300,0.7075,0.028706852346658707
rooms_40,rooms\_40,400,0.6675,0.027434002608060837
rooms_40,rooms\_40,500,0.6975,0.02786663919687271
class_times_12,class\_times\_12,100,0.6475,0.027882304042577744
class_times_12,class\_times\_12,200,0.6275,0.02408808097243309
class_times_12,class\_times\_12,300,0.695,0.027381394058465958
class_times_12,class\_times\_12,400,0.64,0.028018198907375336
class_times_12,class\_times\_12,500,0.72,0.027158483862876892
class_times_18,class\_times\_18,100,0.68,0.025055143982172012
class_times_18,class\_times\_18,200,0.6275,0.026390735059976578
class_times_18,class\_times\_18,300,0.685,0.028976060450077057
class_times_18,class\_times\_18,400,0.77,0.024679034948349
class_times_18,class\_times\_18,500,0.6425,0.029196809977293015
students_75,students\_75,100,0.643333,0.026813145726919174
students_75,students\_75,200,0.616667,0.02680196613073349
students_75,students\_75,300,0.653333,0.02669835463166237
students_75,students\_75,400,0.696667,0.026670895516872406
students_75,students\_75,500,0.7,0.026557158678770065
students_150,students\_150,100,0.638333,0.028323769569396973
students_150,students\_150,200,0.753333,0.027486711740493774
students_150,students\_150,300,0.681667,0.026312630623579025
students_150,students\_150,400,0.663333,0.026452727615833282
students_150,students\_150,500,0.691667,0.02608375996351242
capacity_tight,capacity\_tight,100,0.685,0.02465078979730606
capacity_tight,capacity\_tight,200,0.67,0.02615472301840782
capacity_tight,capacity\_tight,300,0.765,0.028595924377441406
capacity_tight,capacity\_tight,400,0.72,0.024679701775312424
capacity_tight,capacity\_tight,500,0.7225,0.02422357350587845
capacity_large,capacity\_large,100,0.7325,0.024443671107292175
capacity_large,capacity\_large,200,0.67,0.02813008800148964
capacity_large,capacity\_large,300,0.6825,0.024716321378946304
capacity_large,capacity\_large,400,0.65,0.0279695987701416
capacity_large,capacity\_large,500,0.78,0.027486830949783325
hours_more_short,hours\_more\_short,100,0.695,0.027373306453227997
hours_more_short,hours\_more\_short,200,0.7675,0.02719000354409218
hours_more_short,hours\_more\_short,300,0.625,0.026295125484466553
hours_more_short,hours\_more\_short,400,0.725,0.02433737739920616
hours_more_short,hours\_more\_short,500,0.77,0.02768668532371521
hours_more_long,hours\_more\_long,100,0.705,0.027896616607904434
hours_more_long,hours\_more\_long,200,0.6675,0.027849484235048294
hours_more_long,hours\_more\_long,300,0.675,0.02819381281733513
hours_more_long,hours\_more\_long,400,0.68,0.02847365289926529
hours_more_long,hours\_more\_long,500,0.775,0.02516329288482666
