case,case_tex,seed,optimality,scheduling_seconds
baseline,baseline,100,0.6725,0.0248
baseline,baseline,200,0.6875,0.0223
baseline,baseline,300,0.665,0.0211
baseline,baseline,400,0.7125,0.0228
baseline,baseline,500,0.66,0.0228
rooms_20,rooms\_20,101,0.7325,0.0303
rooms_20,rooms\_20,201,0.745,0.021
rooms_20,rooms\_20,301,0.7375,0.0207
rooms_20,rooms\_20,401,0.7425,0.0221
rooms_20,rooms\_20,501,0.715,0.021
rooms_40,rooms\_40,102,0.705,0.0249
rooms_40,rooms\_40,202,0.6425,0.0241
rooms_40,rooms\_40,302,0.7075,0.0209
rooms_40,rooms\_40,402,0.6675,0.021
rooms_40,rooms\_40,502,0.6975,0.021
class_times_12,class\_times\_12,103,0.6475,0.0243
class_times_12,class\_times\_12,203,0.6275,0.0217
class_times_12,class\_times\_12,303,0.695,0.0214
class_times_12,class\_times\_12,403,0.64,0.0205
class_times_12,class\_times\_12,503,0.72,0.0205
class_times_18,class\_times\_18,104,0.68,0.0248
class_times_18,class\_times\_18,204,0.6275,0.0213
class_times_18,class\_times\_18,304,0.685,0.0214
class_times_18,class\_times\_18,404,0.77,0.0212
class_times_18,class\_times\_18,504,0.6425,0.0302
students_75,students\_75,105,0.6433,0.0254
students_75,students\_75,205,0.6167,0.0203
students_75,students\_75,305,0.6533,0.0242
students_75,students\_75,405,0.6967,0.0204
students_75,students\_75,505,0.7,0.0203
students_150,students\_150,106,0.6383,0.0231
students_150,students\_150,206,0.7533,0.0225
students_150,students\_150,306,0.6817,0.0219
students_150,students\_150,406,0.6633,0.0221
students_150,students\_150,506,0.6917,0.0224
capacity_tight,capacity\_tight,107,0.685,0.021
capacity_tight,capacity\_tight,207,0.67,0.0208
capacity_tight,capacity\_tight,307,0.765,0.0209
capacity_tight,capacity\_tight,407,0.72,0.0207
capacity_tight,capacity\_tight,507,0.7225,0.0209
capacity_large,capacity\_large,108,0.7325,0.0216
capacity_large,capacity\_large,208,0.67,0.0213
capacity_large,capacity\_large,308,0.6825,0.0208
capacity_large,capacity\_large,408,0.65,0.0207
capacity_large,capacity\_large,508,0.78,0.0209
hours_more_short,hours\_more\_short,109,0.695,0.0208
hours_more_short,hours\_more\_short,209,0.7675,0.0213
hours_more_short,hours\_more\_short,309,0.625,0.0208
hours_more_short,hours\_more\_short,409,0.725,0.0222
hours_more_short,hours\_more\_short,509,0.77,0.0234
hours_more_long,hours\_more\_long,110,0.705,0.0207
hours_more_long,hours\_more\_long,210,0.6675,0.0211
hours_more_long,hours\_more\_long,310,0.675,0.0209
hours_more_long,hours\_more\_long,410,0.68,0.0213
hours_more_long,hours\_more\_long,510,0.775,0.0212
