Course	Room	Teacher	Time	Days	Students
2	21	2	(4, 7)	M	2 350 586 587
3	3	3	(15, 16)	MWF	3 114 292 424 457 548 580 605 642 772 824 835 842
5	12	5	(15, 17)	MWF	61 225 516 578 583 597 688 700 712 717 736 743 799 870 1009
7	67	6	(0, 3)	M	5 70 78 80 83 115 144 182 183 192 197 204 205 235 244 252 273 289 367 594
8	33	7	(8, 10)	MWF	5 220 471 474 533 593 804
9	28	8	(12, 13)	MWF	5 353 360 427 451 478 500 507 579 610 614 664 691 696 702 703 712 756 804 848
10	34	9	(17, 19)	MWF	5 32 625 1056
11	48	10	(5, 7)	TTHF	6 668 825 863 964 967 1003 1116
12	112	NA	(8, 10)	TTH	6 37 89 277 383 424 445
13	112	11	(10, 12)	MWF	6 39 89 139 195 229 314
14	41	12	(0, 3)	M	7 12 89 104 136
15	12	13	(11, 16)	TH	8 14 15 46 83 92 185 237 267 290 324 475
16	45	14	(0, 3)	T	9 73 156 356 362
17	12	15	(4, 7)	TH	9 148 167 184 196 235 270 345 412
18	15	16	(0, 1)	MWF	9 20 26 79 90 124 140 146 200 226 234 343 506 508 510 525 533 567 640 701 718 740 748 756 762 764 780 791 793 807 811 812 821 862 873 875 876 880 881 882 889 903 915 916 917 919 923 925 926 927 931 932 935 938 944 956 961 965 967 968 970 972 975 976 977 980 982 987 991 993 1000 1001 1010 1011 1012 1018 1020 1022 1034 1036 1038 1042 1043 1046 1047 1053 1062 1069 1072 1073 1076 1077 1082 1088 1090 1091 1092 1095 1096 1097 1101 1102 1103 1104
19	67	17	(7, 12)	M	10 19 26 133 234 271 301 701 760 794 869 1045 1053 1071
20	44	18	(0, 2)	TTHF	10 77 328 385 517 540 555 774
21	33	19	(11, 14)	M	16 18 30 53 76 123 200 203 261 264 265 268 287 300
22	22	20	(16, 18)	TTH	11 35 156 222 280 295 297 409 648 744 769 872 957 1109
23	22	21	(13, 15)	MWF	11 38 58 68 78 117 136 143 171 189 196 197 212 213 219 222 227 234 254 260 284 294 301 318 344 357
24	5	22	(0, 3)	T	11 60 127 212 350 372 405 451 614 778
