Students	2293
1	1 
2	2 
3	3 4 5 
4	6 
5	7 8 9 10 
6	11 12 13 
7	14 
8	15 
9	16 17 18 
10	19 20 21 
11	22 23 24 25 21 
12	26 14 27 
13	28 29 
14	15 30 
15	15 30 
16	31 32 21 33 34 
17	35 36 
18	37 38 21 
19	19 39 40 41 
20	42 18 43 
21	44 45 46 
22	47 
23	48 49 
24	50 51 
25	52 53 54 
26	19 55 18 33 
27	42 45 46 
28	55 56 57 
29	58 59 51 
30	32 51 21 60 
31	61 43 
32	62 49 10 33 
33	63 40 
34	64 49 65 
35	66 67 22 
36	68 69 70 
37	71 12 72 
38	31 23 73 
39	13 61 
40	74 58 75 
41	76 77 78 79 80 
42	81 65 82 
43	83 84 85 
44	80 86 87 
45	56 
46	88 15 70 89 
47	90 
48	56 91 50 
49	62 30 
50	92 40 93 
51	40 94 
52	95 59 96 
53	51 21 97 27 
54	56 98 99 34 
55	100 101 102 
56	41 51 21 
57	37 103 
58	23 88 
59	59 
60	102 24 40 
61	104 105 5 
62	106 107 
63	108 109 110 
64	68 82 111 
65	112 113 64 114 
66	115 116 73 
67	48 
68	23 117 
69	118 119 54 
70	120 7 121 
71	31 69 122 
72	123 124 125 126 
73	55 16 
74	106 60 
75	127 
76	51 21 
77	20 33 
78	128 7 23 
79	69 70 18 
80	128 7 129 108 
81	36 40 
82	102 110 
83	128 7 130 15 18 
84	56 131 106 
85	132 133 
86	82 
87	133 85 82 
88	37 134 135 52 
89	12 13 14 27 
90	49 18 
91	77 136 60 
92	123 104 15 70 
93	48 47 52 137 
94	138 44 139 
95	140 141 142 
96	143 71 43 
97	144 41 
98	145 146 
99	147 
100	148 67 106 
101	28 139 
102	52 53 54 
103	94 
104	149 14 
105	91 38 
106	150 49 119 84 
107	151 152 92 34 
108	102 50 
109	49 
110	137 110 149 
111	4 153 154 155 
112	44 84 54 61 
113	156 140 73 
114	3 157 28 106 
115	7 80 
116	59 
117	23 85 110 
118	158 
119	56 91 159 60 
120	74 102 
121	48 160 161 
122	119 84 82 
123	104 51 21 
124	63 142 18 
125	162 163 39 40 
126	136 
127	24 40 103 
128	164 
129	116 158 
130	165 64 
131	161 66 111 
132	166 167 
133	19 41 21 
134	52 61 
135	4 34 
136	23 168 14 159 
137	42 45 65 106 
138	85 99 82 
139	169 62 13 109 170 
140	18 171 41 21 
141	65 40 27 60 
142	172 
143	62 23 70 173 
144	128 7 
145	164 150 84 
146	101 44 165 18 
147	36 40 155 
148	157 17 108 
149	110 168 
150	80 174 
151	175 27 
152	44 71 176 84 
153	66 108 
154	140 129 160 161 
155	72 177 172 178 
156	22 16 
157	58 98 84 85 
158	76 77 79 56 91 
159	110 61 
160	147 163 
161	72 35 85 
162	66 67 94 
163	179 97 
164	147 115 89 111 
165	145 124 125 180 
166	157 28 
167	56 91 17 
168	62 122 180 106 
169	160 161 
170	119 82 
171	4 37 23 
172	66 67 181 
173	123 104 
174	157 28 23 46 
175	164 163 111 
176	63 82 
177	126 69 131 
178	53 34 
179	140 116 182 136 
180	59 26 
181	183 172 178 
182	128 7 129 125 
183	128 7 75 34 
184	66 67 17 
185	184 69 15 
186	77 78 185 186 
187	88 70 162 49 
188	81 40 
189	160 161 23 84 
190	175 80 168 149 
191	91 
192	128 120 7 18 
193	85 82 
194	63 187 
195	13 
196	56 23 17 
197	156 128 7 23 
198	139 98 84 99 
199	188 67 94 
200	18 38 32 21 
201	157 28 88 
202	88 98 85 
203	104 32 21 
204	128 120 7 18 
205	104 128 7 
206	147 189 190 118 
207	184 191 140 
208	188 157 155 26 
209	115 53 109 54 
210	177 172 135 
211	192 71 84 
212	23 163 24 193 93 
213	123 23 134 135 
214	110 43 
215	110 61 
216	194 4 37 195 190 
217	137 110 
218	101 196 180 14 
219	23 73 108 
220	183 8 88 34 
221	157 137 
222	197 22 23 73 
223	198 199 
224	139 
225	49 5 
226	200 49 18 
227	23 201 165 
228	202 203 183 59 84 
229	72 193 40 13 
230	68 84 
231	71 84 82 
232	156 69 70 
233	204 163 94 205 
234	19 23 73 18 
235	128 7 17 
236	45 71 96 
237	44 15 46 
238	132 59 22 88 49 
239	85 99 57 46 
240	156 206 49 136 
241	150 49 
242	57 53 13 61 
243	156 110 61 
244	7 125 
245	94 
246	59 9 115 158 
247	207 183 58 
248	81 183 58 
249	52 175 80 
250	64 49 
251	176 208 99 
252	104 7 
253	67 63 135 
254	23 137 110 168 
255	104 176 51 21 
256	104 128 26 
257	82 51 
