Class Times	15
Rooms	10
1	373
2	645
3	619
4	858
5	302
6	305
7	475
8	236
9	762
10	554
Classes	100
Teachers	50
1	25	3
2	1	3
3	4	2
4	47	2
5	37	2
6	41	3
7	29	2
8	34	3
9	13	3
10	3	3
11	40	3
12	19	2
13	9	3
14	34	3
15	10	3
16	4	3
17	27	3
18	36	3
19	6	2
20	27	2
21	26	2
22	1	3
23	38	3
24	37	3
25	44	2
26	45	6
27	18	3
28	39	3
29	38	2
30	46	2
31	35	3
32	43	3
33	33	3
34	8	2
35	16	3
36	15	2
37	22	2
38	11	3
39	8	2
40	30	2
41	45	3
42	5	2
43	48	2
44	17	3
45	42	2
46	47	6
47	33	3
48	16	3
49	39	2
50	7	6
51	21	2
52	31	3
53	15	3
54	36	2
55	49	2
56	18	2
57	9	2
58	6	6
59	42	3
60	3	2
61	29	2
62	10	6
63	22	2
64	26	3
65	49	3
66	14	2
67	28	2
68	24	6
69	41	2
70	30	3
71	40	2
72	46	3
73	11	2
74	21	6
75	17	2
76	24	2
77	44	2
78	19	2
79	31	6
80	43	3
81	32	3
82	12	2
83	20	3
84	7	6
85	25	6
86	32	2
87	23	2
88	2	3
89	14	2
90	50	2
91	2	2
92	28	3
93	13	2
94	20	6
95	50	2
96	23	3
97	35	3
98	48	3
99	12	2
100	5	3
