Class Times	15

Buildings	10

# buildingID	college	building_name	num_rooms
1	B	Dalton	4
2	B	Park	5
3	B	Goodhart	3
4	B	Guild	4
5	B	Bettws	4
6	H	Stokes	2
7	H	Sharpless	5
8	H	Hilles	7
9	H	Chase	2
10	H	Roberts	4

Rooms	40

# roomID	buildingID	capacity
1	1	542
2	1	303
3	1	757
4	1	826
5	2	792
6	2	810
7	2	294
8	2	450
9	2	425
10	3	220
11	3	449
12	3	611
13	4	274
14	4	474
15	4	764
16	4	272
17	5	276
18	5	222
19	5	850
20	5	210
21	6	497
22	6	567
23	7	705
24	7	680
25	7	357
26	7	303
27	7	713
28	8	535
29	8	278
30	8	721
31	8	881
32	8	377
33	8	383
34	8	353
35	9	344
36	9	527
37	10	512
38	10	309
39	10	726
40	10	816

Classes	100
Teachers	50

# classID	college	dept	pairedClassID	credit_hours	day_frequency
1	H	Music	39	2	2
2	H	Econ	49	3	2
3	H	History	97	3	3
4	B	English	41	4	2
5	B	Philosophy	52	4	2
6	H	Political	78	4	2
7	H	Math	60	2	1
8	H	Music	17	3	2
9	H	Music	98	3	3
10	H	Chem	23	3	3
11	B	Art	34	3	3
12	B	Biology	86	2	1
13	H	Psychology	24	2	2
14	H	Psychology	76	4	3
15	B	Sociology	47	3	3
16	H	Political	100	3	2
17	H	Music	8	3	2
18	B	Sociology	87	3	3
19	H	Political	93	4	3
20	B	Biology	25	3	3
21	H	Math	73	4	2
22	B	Biology	42	4	2
23	H	Chem	10	3	3
24	H	Psychology	13	2	1
25	B	Biology	20	3	2
26	B	Sociology	61	4	3
27	H	Econ	56	4	2
28	H	Political	88	4	3
29	H	Chem	68	2	2
30	H	Music	71	3	2
31	B	CS	75	3	3
32	B	Philosophy	94	2	1
33	B	CS	66	3	2
34	B	Art	11	3	2
35	B	CS	79	4	2
36	H	Psychology	82	3	3
37	H	Math	74	3	2
38	H	Econ	96	4	3
39	H	Music	1	2	2
40	H	Music	53	3	2
41	B	English	4	4	2
42	B	Biology	22	4	3
43	B	Physics	65	2	1
44	B	Sociology	46	2	2
45	B	Art	81	3	2
46	B	Sociology	44	2	2
47	B	Sociology	15	3	3
48	B	Art	69	3	2
49	H	Econ	2	3	2
50	H	Econ	51	3	2
51	H	Econ	50	3	3
52	B	Philosophy	5	4	2
53	H	Music	40	3	2
54	B	English	72	3	3
55	B	English	95	2	2
56	H	Econ	27	4	3
57	H	Math	64	4	2
58	B	Physics	99	3	2
59	H	Chem	85	4	3
60	H	Math	7	2	1
61	B	Sociology	26	4	2
62	B	Art	80	3	3
63	B	CS	89	3	2
64	H	Math	57	4	2
65	B	Physics	43	2	1
66	B	CS	33	3	2
67	H	Math	90	3	3
68	H	Chem	29	2	2
69	B	Art	48	3	2
70	B	CS	84	4	2
71	H	Music	30	3	3
72	B	English	54	3	3
73	H	Math	21	4	2
74	H	Math	37	3	2
75	B	CS	31	3	3
76	H	Psychology	14	4	2
77	B	CS	92	3	2
78	H	Political	6	4	2
79	B	CS	35	4	3
80	B	Art	62	3	2
81	B	Art	45	3	3
82	H	Psychology	36	3	3
83	B	Sociology	91	4	2
84	B	CS	70	4	3
85	H	Chem	59	4	3
86	B	Biology	12	2	1
87	B	Sociology	18	3	2
88	H	Political	28	4	2
89	B	CS	63	3	3
90	H	Math	67	3	3
91	B	Sociology	83	4	3
92	B	CS	77	3	3
93	H	Political	19	4	2
94	B	Philosophy	32	2	1
95	B	English	55	2	1
96	H	Econ	38	4	2
97	H	History	3	3	3
98	H	Music	9	3	3
99	B	Physics	58	3	2
100	H	Political	16	3	2
