Students	1000
1	30 17 11 48
2	14 49 24 38
3	25 18 16 48
4	43 20 31 5
5	47 35 14 33
6	22 38 16 11
7	17 1 34 36
8	13 40 36 11
9	4 5 38 39
10	22 24 38 16
11	46 22 15 28
12	28 5 23 41
13	13 29 1 14
14	41 28 49 32
15	8 18 29 38
16	23 19 36 41
17	36 19 26 33
18	44 48 17 46
19	30 49 3 22
20	23 33 22 1
21	39 46 28 36
22	37 2 14 34
23	46 10 31 35
24	37 23 21 14
25	50 9 40 28
26	40 49 45 12
27	29 3 6 1
28	14 41 46 11
29	20 43 1 24
30	7 41 33 38
31	23 7 46 10
32	42 14 15 19
33	15 31 45 12
34	11 26 46 34
35	11 18 6 26
36	19 47 3 12
37	34 7 38 48
38	27 33 7 40
39	28 12 10 8
40	27 21 8 31
41	46 23 47 38
42	48 28 27 49
43	11 29 13 21
44	25 39 27 11
45	3 5 50 36
46	5 19 32 30
47	18 6 23 20
48	42 15 43 29
49	4 15 13 35
50	8 38 2 15
51	6 1 19 28
52	6 34 40 42
53	37 14 31 25
54	6 2 47 45
55	29 38 7 18
56	36 44 30 39
57	44 36 1 21
58	47 17 20 14
59	7 48 3 24
60	3 2 18 23
61	42 8 49 27
62	47 22 3 32
63	43 8 39 36
64	11 33 45 39
65	4 6 22 32
66	50 41 21 47
67	41 25 2 48
68	40 19 31 45
69	29 41 30 9
70	3 23 47 16
71	17 16 47 33
72	37 47 5 26
73	21 20 9 3
74	6 43 14 49
75	22 21 30 23
76	3 47 9 33
77	25 14 20 33
78	39 23 45 12
79	32 2 29 18
80	25 21 20 2
81	10 23 25 39
82	41 26 4 20
83	15 24 33 9
84	48 49 12 10
85	27 13 11 50
86	8 45 6 16
87	9 4 19 32
88	8 39 38 7
89	35 4 50 21
90	41 44 8 16
91	22 32 29 37
92	12 46 16 6
93	41 33 26 40
94	21 31 15 23
95	11 40 20 43
96	42 32 49 8
97	38 40 2 33
98	23 42 19 41
99	37 45 12 24
100	7 40 49 21
101	24 25 30 42
102	33 40 36 24
103	21 6 4 40
104	49 31 26 17
105	46 18 4 10
106	15 14 7 21
107	48 5 32 49
108	30 26 3 39
109	36 35 40 6
110	17 25 15 34
111	44 36 26 30
112	40 42 11 22
113	15 28 8 42
114	25 45 39 33
115	49 46 25 36
116	13 43 42 33
117	44 41 46 47
118	6 18 8 11
119	3 14 37 19
120	38 22 44 30
121	18 40 6 3
122	3 48 10 2
123	26 25 36 19
124	20 27 14 26
125	50 11 28 36
126	20 31 41 21
127	17 41 45 50
128	17 35 14 47
