Students	100
1	4 32 42 49
2	27 24 16 2
3	10 46 25 20
4	21 33 50 4
5	17 2 27 47
6	12 9 26 28
7	28 31 14 41
8	2 37 38 40
9	7 38 37 40
10	21 42 2 44
11	36 46 2 38
12	27 23 34 49
13	40 24 41 45
14	16 50 39 6
15	9 16 25 45
16	29 50 21 6
17	1 22 18 8
18	26 8 33 41
19	11 34 9 23
20	37 8 45 11
21	30 42 22 4
22	3 45 35 44
23	48 6 23 30
24	34 36 8 45
25	27 35 47 15
26	28 41 17 14
27	29 6 7 12
28	49 9 27 14
29	5 16 26 6
30	34 27 26 6
31	15 11 22 8
32	34 44 49 7
33	10 8 17 19
34	30 41 26 7
35	20 23 5 21
36	6 28 48 1
37	14 50 23 25
38	14 22 20 36
39	15 48 38 30
40	33 17 25 43
41	31 33 27 50
42	31 21 44 7
43	23 28 29 16
44	48 14 6 8
45	47 43 49 3
46	9 24 2 45
47	12 29 3 38
48	6 27 28 19
49	37 32 11 33
50	8 34 36 25
51	6 14 11 26
52	25 49 30 48
53	11 30 36 4
54	30 1 21 27
55	43 21 47 25
56	27 49 38 16
57	2 26 17 15
58	26 18 23 3
59	10 2 50 35
60	28 20 35 40
61	13 26 10 40
62	30 9 37 8
63	9 19 20 38
64	3 23 11 49
65	48 44 15 12
66	1 27 26 28
67	15 29 16 28
68	13 8 4 30
69	19 29 49 2
70	31 40 10 24
71	35 24 36 29
72	43 7 22 42
73	26 27 48 12
74	30 49 31 46
75	8 32 16 26
76	7 30 26 28
77	44 21 5 3
78	11 27 31 34
79	43 17 45 13
80	28 40 25 10
81	27 4 43 40
82	9 11 12 13
83	14 41 20 45
84	24 20 1 30
85	2 48 25 21
86	1 31 3 29
87	46 29 48 2
88	4 32 38 7
89	19 15 37 48
90	26 29 6 8
91	5 24 42 35
92	26 29 49 1
93	41 17 21 46
94	25 10 30 42
95	46 12 4 43
96	7 48 12 38
97	22 13 5 45
98	43 35 27 25
99	22 6 48 16
100	30 38 5 50
